FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,40","0,01",,,,,,,"0,81","10,78","13,59","10,07",,,,,,
seq0,checks,1 / 100,,,"0,02","0,32","0,03",,,,,,,"0,81","2,17","2,26","0,00",,,,,,
seq0,checks,2 / 100,,,"0,02","0,32","0,03",,,,,,,"0,81","2,17","2,26","0,00",,,,,,
seq0,checks,FINAL,,,"0,02","0,32","0,03",,,,,,,"0,81","2,17","2,26","0,00","79,86","268,07","2,50","2,13","253,00","460,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,35","0,01",,,,,,,"0,81","10,83","13,64","10,18",,,,,,
seq0,no_checks,1 / 100,,,"0,02","0,27","0,03",,,,,,,"0,81","2,05","2,13","0,00",,,,,,
seq0,no_checks,2 / 100,,,"0,02","0,27","0,03",,,,,,,"0,81","2,05","2,13","0,00",,,,,,
seq0,no_checks,FINAL,,,"0,02","0,27","0,03",,,,,,,"0,81","2,05","2,13","0,00","81,11","251,65","2,50","2,13","253,00","458,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,60","0,04",,,,,,,"1,31","21,52","26,33","17,15",,,,,,
seq1,no_checks,1 / 100,,,"0,04","0,27","0,06",,,,,,,"1,31","13,55","14,08","0,00",,,,,,
seq1,no_checks,2 / 100,,,"0,04","0,27","0,06",,,,,,,"1,31","13,55","14,08","0,00",,,,,,
seq1,no_checks,FINAL,,,"0,04","0,27","0,06",,,,,,,"1,31","13,55","14,08","0,00","37,04","1035,55","2,50","1,83","188,00","312,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,01","0,32","0,02",,,,,,,"1,95","26,88","31,35","17,74",,,,,,
seq2,no_checks,1 / 100,,,"0,01","0,15","0,19",,,,,,,"1,95","23,32","23,90","0,00",,,,,,
seq2,no_checks,2 / 100,,,"0,01","0,15","0,19",,,,,,,"1,95","23,32","23,90","0,00",,,,,,
seq2,no_checks,FINAL,,,"0,01","0,15","0,19",,,,,,,"1,95","23,32","23,90","0,00","13,25","1195,11","2,50","1,21","144,00","156,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,04","0,40","0,19",,,,,,,"1,93","27,24","32,38","19,28",,,,,,
seq3,no_checks,1 / 100,,,"0,01","0,20","0,16",,,,,,,"1,93","26,11","26,68","0,00",,,,,,
seq3,no_checks,2 / 100,,,"0,01","0,20","0,16",,,,,,,"1,93","26,11","26,68","0,00",,,,,,
seq3,no_checks,FINAL,,,"0,01","0,20","0,16",,,,,,,"1,93","26,11","26,68","0,00","4,14","1354,07","2,50","1,20","152,00","166,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,48","0,06","272,04",,,,,,,"6,48","35,97","36,28","1,99",,,,,,
seq4,no_checks,1 / 100,,,"1,45","0,05","562,71",,,,,,,"6,48","36,08","36,42","0,00",,,,,,
seq4,no_checks,2 / 100,,,"1,45","0,05","562,71",,,,,,,"6,48","36,08","36,42","0,00",,,,,,
seq4,no_checks,FINAL,,,"1,45","0,05","562,71",,,,,,,"6,48","36,08","36,42","0,00","-0,33","557,21","2,50","6,14","140,00","280,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,02","0,50","4,51",,,,,,,"4,79","33,49","36,20","9,51",,,,,,
seq5,no_checks,1 / 100,,,"0,03","0,11","27,21",,,,,,,"4,79","39,21","40,02","0,00",,,,,,
seq5,no_checks,2 / 100,,,"0,03","0,11","27,21",,,,,,,"4,79","39,21","40,02","0,00",,,,,,
seq5,no_checks,FINAL,,,"0,03","0,11","27,21",,,,,,,"4,79","39,21","40,02","0,00","-17,07","818,75","2,50","3,44","112,00","224,00"
