FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,39","0,01",,,,,,,"0,81","10,83","13,62","10,10",,,,,,
seq0,checks,1 / 100,,,"0,08","0,33","0,29",,,,,,,"0,81","8,14","9,40","7,45",,,,,,
seq0,checks,2 / 100,,,"0,08","0,32","0,33",,,,,,,"0,81","7,07","7,98","6,39",,,,,,
seq0,checks,3 / 100,,,"0,08","0,32","0,34",,,,,,,"0,81","7,06","7,97","6,38",,,,,,
seq0,checks,FINAL,,,"0,08","0,32","0,34",,,,,,,"0,81","7,06","7,97","6,38","34,80","869,56","2,50","2,13","254,00","460,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,35","0,01",,,,,,,"0,81","10,74","13,58","10,14",,,,,,
seq0,no_checks,1 / 100,,,"0,02","0,29","0,10",,,,,,,"0,81","7,53","8,58","6,97",,,,,,
seq0,no_checks,2 / 100,,,"0,02","0,28","0,10",,,,,,,"0,81","5,75","6,38","5,21",,,,,,
seq0,no_checks,3 / 100,,,"0,02","0,28","0,10",,,,,,,"0,81","5,72","6,34","5,17",,,,,,
seq0,no_checks,4 / 100,,,"0,02","0,28","0,10",,,,,,,"0,81","5,70","6,32","5,16",,,,,,
seq0,no_checks,FINAL,,,"0,02","0,28","0,10",,,,,,,"0,81","5,70","6,32","5,16","46,89","703,99","2,50","2,13","250,00","454,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,56","0,04",,,,,,,"1,28","21,43","26,10","17,07",,,,,,
seq1,no_checks,1 / 100,,,"0,01","0,28","0,03",,,,,,,"1,28","13,40","13,91","0,09",,,,,,
seq1,no_checks,2 / 100,,,"0,01","0,28","0,02",,,,,,,"1,28","13,40","13,91","0,09",,,,,,
seq1,no_checks,FINAL,,,"0,01","0,28","0,02",,,,,,,"1,28","13,40","13,91","0,09","37,48","1047,48","2,50","1,82","188,00","312,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,03","0,30","0,14",,,,,,,"1,06","18,31","23,72","14,09",,,,,,
seq2,no_checks,1 / 100,,,"0,06","0,13","0,22",,,,,,,"1,06","12,27","14,05","4,00",,,,,,
seq2,no_checks,2 / 100,,,"0,08","0,12","0,24",,,,,,,"1,06","12,33","13,90","3,49",,,,,,
seq2,no_checks,3 / 100,,,"0,08","0,12","0,24",,,,,,,"1,06","12,33","13,90","3,49",,,,,,
seq2,no_checks,FINAL,,,"0,08","0,12","0,24",,,,,,,"1,06","12,33","13,90","3,49","32,66","1166,43","2,50","1,55","244,00","278,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,01","0,15","0,08",,,,,,,"1,23","13,47","17,23","5,06",,,,,,
seq3,no_checks,1 / 100,,,"0,10","0,17","0,40",,,,,,,"1,23","12,53","14,44","3,42",,,,,,
seq3,no_checks,2 / 100,,,"0,10","0,17","0,38",,,,,,,"1,23","12,52","14,38","3,36",,,,,,
seq3,no_checks,3 / 100,,,"0,10","0,17","0,38",,,,,,,"1,23","12,52","14,38","3,36",,,,,,
seq3,no_checks,FINAL,,,"0,10","0,17","0,38",,,,,,,"1,23","12,52","14,38","3,36","7,09","1018,43","2,50","1,43","146,00","272,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,29","0,10","229,55",,,,,,,"6,47","35,92","36,23","2,00",,,,,,
seq4,no_checks,1 / 100,,,"1,13","0,10","67,54",,,,,,,"6,47","36,04","36,37","0,08",,,,,,
seq4,no_checks,2 / 100,,,"1,02","0,10","63,68",,,,,,,"6,47","36,04","36,37","0,08",,,,,,
seq4,no_checks,FINAL,,,"1,02","0,10","63,68",,,,,,,"6,47","36,04","36,37","0,08","-0,34","556,96","2,50","6,14","143,00","286,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,11","0,50","19,18",,,,,,,"4,78","33,47","36,21","9,54",,,,,,
seq5,no_checks,1 / 100,,,"0,14","0,29","2,07",,,,,,,"4,78","34,45","36,64","6,77",,,,,,
seq5,no_checks,2 / 100,,,"0,15","0,24","1,89",,,,,,,"4,78","34,73","36,77","6,15",,,,,,
seq5,no_checks,3 / 100,,,"0,15","0,23","1,88",,,,,,,"4,78","34,84","36,82","5,94",,,,,,
seq5,no_checks,4 / 100,,,"0,12","0,22","1,61",,,,,,,"4,78","34,89","36,85","5,84",,,,,,
seq5,no_checks,5 / 100,,,"0,12","0,21","1,56",,,,,,,"4,78","34,93","36,87","5,77",,,,,,
seq5,no_checks,6 / 100,,,"0,12","0,21","1,54",,,,,,,"4,78","34,94","36,87","5,74",,,,,,
seq5,no_checks,7 / 100,,,"0,12","0,21","1,53",,,,,,,"4,78","34,95","36,88","5,72",,,,,,
seq5,no_checks,FINAL,,,"0,12","0,21","1,53",,,,,,,"4,78","34,95","36,88","5,72","-4,43","731,44","2,50","3,43","111,00","222,00"
