TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00",,,,,,,"12,50","850,76","867,86",,,,,,
seq0,checks,1 / 12,,,"0,54",,,,,,,"12,50","848,53","865,63",,,,,,
seq0,checks,2 / 12,,,"1,18",,,,,,,"12,50","848,06","865,08",,,,,,
seq0,checks,3 / 12,,,"2,61",,,,,,,"12,50","846,62","863,36",,,,,,
seq0,checks,4 / 12,,,"8,12",,,,,,,"12,50","846,86","863,34",,,,,,
seq0,checks,5 / 12,,,"4,67",,,,,,,"12,50","848,57","863,90",,,,,,
seq0,checks,6 / 12,,,"22,02",,,,,,,"12,50","858,94","870,88",,,,,,
seq0,checks,7 / 12,,,"24,15",,,,,,,"12,50","861,29","872,82",,,,,,
seq0,checks,8 / 12,,,"27,72",,,,,,,"12,50","863,28","874,50",,,,,,
seq0,checks,9 / 12,,,"32,20",,,,,,,"12,50","866,30","877,07",,,,,,
seq0,checks,10 / 12,,,"28,62",,,,,,,"12,50","863,44","874,48",,,,,,
seq0,checks,11 / 12,,,"25,75",,,,,,,"12,50","863,44","874,64",,,,,,
seq0,checks,FINAL,,,"27,90",,,,,,,"12,50","863,27","874,44","-1,47","6906,06","12,50","1,30","572,00","1134,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00",,,,,,,"12,50","852,51","869,52",,,,,,
seq0,no_checks,1 / 12,,,"0,11",,,,,,,"12,50","851,56","868,56",,,,,,
seq0,no_checks,2 / 12,,,"0,16",,,,,,,"12,50","851,55","868,55",,,,,,
seq0,no_checks,3 / 12,,,"1,17",,,,,,,"12,50","851,21","868,23",,,,,,
seq0,no_checks,4 / 12,,,"3,48",,,,,,,"12,50","848,91","865,63",,,,,,
seq0,no_checks,5 / 12,,,"10,08",,,,,,,"12,50","846,90","863,29",,,,,,
seq0,no_checks,6 / 12,,,"12,13",,,,,,,"12,50","850,99","866,74",,,,,,
seq0,no_checks,7 / 12,,,"19,40",,,,,,,"12,50","854,23","868,13",,,,,,
seq0,no_checks,8 / 12,,,"14,24",,,,,,,"12,50","854,39","867,78",,,,,,
seq0,no_checks,9 / 12,,,"16,30",,,,,,,"12,50","856,49","869,38",,,,,,
seq0,no_checks,10 / 12,,,"14,71",,,,,,,"12,50","856,29","869,20",,,,,,
seq0,no_checks,11 / 12,,,"13,88",,,,,,,"12,50","856,55","869,38",,,,,,
seq0,no_checks,FINAL,,,"13,53",,,,,,,"12,50","856,58","869,39","-0,48","6852,49","12,50","1,30","575,00","1144,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00",,,,,,,"12,50","853,11","866,92",,,,,,
seq1,no_checks,1 / 12,,,"0,01",,,,,,,"12,50","852,88","866,69",,,,,,
seq1,no_checks,2 / 12,,,"0,03",,,,,,,"12,50","852,86","866,67",,,,,,
seq1,no_checks,3 / 12,,,"0,61",,,,,,,"12,50","851,07","864,93",,,,,,
seq1,no_checks,4 / 12,,,"0,98",,,,,,,"12,50","850,63","864,43",,,,,,
seq1,no_checks,5 / 12,,,"8,58",,,,,,,"12,50","843,74","857,81",,,,,,
seq1,no_checks,6 / 12,,,"12,51",,,,,,,"12,50","845,88","859,58",,,,,,
seq1,no_checks,7 / 12,,,"13,55",,,,,,,"12,50","845,57","859,13",,,,,,
seq1,no_checks,8 / 12,,,"18,83",,,,,,,"12,50","847,04","860,16",,,,,,
seq1,no_checks,9 / 12,,,"16,26",,,,,,,"12,50","847,39","860,32",,,,,,
seq1,no_checks,10 / 12,,,"15,50",,,,,,,"12,50","847,31","860,36",,,,,,
seq1,no_checks,11 / 12,,,"17,41",,,,,,,"12,50","847,57","860,57",,,,,,
seq1,no_checks,FINAL,,,"21,23",,,,,,,"12,50","851,10","863,42","0,24","6808,72","12,50","1,31","552,00","1094,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,00",,,,,,,"12,50","885,66","903,24",,,,,,
seq2,no_checks,1 / 12,,,"0,64",,,,,,,"12,50","874,95","891,95",,,,,,
seq2,no_checks,2 / 12,,,"1,90",,,,,,,"12,50","867,40","884,22",,,,,,
seq2,no_checks,3 / 12,,,"3,18",,,,,,,"12,50","858,41","875,15",,,,,,
seq2,no_checks,4 / 12,,,"4,56",,,,,,,"12,50","828,77","845,39",,,,,,
seq2,no_checks,5 / 12,,,"4,46",,,,,,,"12,50","826,42","843,16",,,,,,
seq2,no_checks,6 / 12,,,"4,23",,,,,,,"12,50","823,55","840,45",,,,,,
seq2,no_checks,7 / 12,,,"3,42",,,,,,,"12,50","821,97","838,97",,,,,,
seq2,no_checks,8 / 12,,,"3,34",,,,,,,"12,50","821,61","838,67",,,,,,
seq2,no_checks,9 / 12,,,"3,28",,,,,,,"12,50","821,49","838,56",,,,,,
seq2,no_checks,10 / 12,,,"3,37",,,,,,,"12,50","821,34","838,48",,,,,,
seq2,no_checks,11 / 12,,,"3,77",,,,,,,"12,50","820,48","837,78",,,,,,
seq2,no_checks,FINAL,,,"3,29",,,,,,,"12,50","820,13","837,49","7,40","6561,03","12,50","1,48","313,00","622,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,00",,,,,,,"12,50","910,22","925,81",,,,,,
seq3,no_checks,1 / 12,,,"0,57",,,,,,,"12,50","901,05","916,11",,,,,,
seq3,no_checks,2 / 12,,,"0,63",,,,,,,"12,50","900,48","915,53",,,,,,
seq3,no_checks,3 / 12,,,"0,64",,,,,,,"12,50","900,48","915,53",,,,,,
seq3,no_checks,4 / 12,,,"0,64",,,,,,,"12,50","900,47","915,52",,,,,,
seq3,no_checks,5 / 12,,,"5,19",,,,,,,"12,50","871,06","885,67",,,,,,
seq3,no_checks,6 / 12,,,"5,89",,,,,,,"12,50","866,63","881,19",,,,,,
seq3,no_checks,7 / 12,,,"5,76",,,,,,,"12,50","861,55","876,14",,,,,,
seq3,no_checks,8 / 12,,,"2,84",,,,,,,"12,50","852,43","867,63",,,,,,
seq3,no_checks,9 / 12,,,"2,30",,,,,,,"12,50","852,32","867,46",,,,,,
seq3,no_checks,10 / 12,,,"2,18",,,,,,,"12,50","852,36","867,49",,,,,,
seq3,no_checks,11 / 12,,,"2,14",,,,,,,"12,50","852,37","867,50",,,,,,
seq3,no_checks,FINAL,,,"2,15",,,,,,,"12,50","852,37","867,50","6,36","6818,93","12,50","1,47","315,00","616,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,00",,,,,,,"12,50","1003,46","1039,85",,,,,,
seq4,no_checks,1 / 12,,,"0,01",,,,,,,"12,50","1002,40","1038,43",,,,,,
seq4,no_checks,2 / 12,,,"0,04",,,,,,,"12,50","1000,91","1036,48",,,,,,
seq4,no_checks,3 / 12,,,"0,10",,,,,,,"12,50","999,83","1035,11",,,,,,
seq4,no_checks,4 / 12,,,"0,45",,,,,,,"12,50","914,12","942,97",,,,,,
seq4,no_checks,5 / 12,,,"1,89",,,,,,,"12,50","862,62","885,16",,,,,,
seq4,no_checks,6 / 12,,,"1,12",,,,,,,"12,50","852,89","874,84",,,,,,
seq4,no_checks,7 / 12,,,"1,21",,,,,,,"12,50","852,64","874,38",,,,,,
seq4,no_checks,8 / 12,,,"1,14",,,,,,,"12,50","852,91","874,54",,,,,,
seq4,no_checks,9 / 12,,,"1,11",,,,,,,"12,50","853,29","874,91",,,,,,
seq4,no_checks,10 / 12,,,"1,16",,,,,,,"12,50","852,35","874,16",,,,,,
seq4,no_checks,11 / 12,,,"1,20",,,,,,,"12,50","852,38","874,11",,,,,,
seq4,no_checks,FINAL,,,"1,05",,,,,,,"12,50","851,82","873,57","15,11","6814,53","12,50","1,05","166,00","322,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,00",,,,,,,"56,43","961,37","961,58",,,,,,
seq5,no_checks,1 / 12,,,"0,11",,,,,,,"56,43","962,69","962,86",,,,,,
seq5,no_checks,2 / 12,,,"0,11",,,,,,,"56,43","962,67","962,84",,,,,,
seq5,no_checks,3 / 12,,,"0,11",,,,,,,"56,43","962,66","962,83",,,,,,
seq5,no_checks,4 / 12,,,"0,12",,,,,,,"56,43","962,66","962,83",,,,,,
seq5,no_checks,5 / 12,,,"0,11",,,,,,,"56,43","962,65","962,82",,,,,,
seq5,no_checks,6 / 12,,,"0,11",,,,,,,"56,43","962,65","962,82",,,,,,
seq5,no_checks,7 / 12,,,"0,11",,,,,,,"56,43","962,64","962,81",,,,,,
seq5,no_checks,FINAL,,,"0,11",,,,,,,"56,43","962,64","962,81","-0,13","1706,00","12,50","5,39","138,00","276,00"
