Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_not_scaled_depth-InRays Initial (mm),ARAP_not_scaled_depth-InRays Final (mm),ARAP_not_scaled_depth-TwoPoints Initial (mm),ARAP_not_scaled_depth-TwoPoints Final (mm),ARAP_not_scaled_depth-FarPoints Initial (mm),ARAP_not_scaled_depth-FarPoints Final (mm)
"3,97",Planar,"2,5",0,"2,49","2,72","2,80","2,74","2,90","2,77"
"2,50",Planar,0,"2,5","1,63","1,40","1,72","1,50","1,97","1,43"
"4,94",Planar,"2,5","2,5","2,97","3,10","3,38","3,12","3,45","2,80"
"15,27",Planar,10,0,"9,27","10,67","10,74","10,94","10,72","15,69"
"10,00",Planar,0,10,"5,19","3,60","6,11","4,82","6,14","4,51"
"18,60",Planar,10,10,"11,46","10,90","13,23","10,87","13,33","26,87"
"3,03",Gradual,0,"2,5","1,84","1,20","2,07","1,70","2,26","1,34"
"5,21",Gradual,"2,5","2,5","3,04","2,85","3,52","2,94","3,66","3,01"
"10,66",Gradual,0,10,"4,83","3,08","6,25","3,28","6,36","3,17"
"19,45",Gradual,10,10,"10,06","15,81","12,56","13,41","12,68","162,12"
