Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_not_scaled_depth-InRays Initial (mm),ARAP_not_scaled_depth-InRays Final (mm),ARAP_not_scaled_depth-TwoPoints Initial (mm),ARAP_not_scaled_depth-TwoPoints Final (mm),ARAP_not_scaled_depth-FarPoints Initial (mm),ARAP_not_scaled_depth-FarPoints Final (mm)
"4,15",Planar,"2,5",0,"2,83","3,11","3,12","3,07","3,20","3,25"
"2,50",Planar,0,"2,5","1,73","1,57","1,83","1,63","2,04","1,54"
"4,73",Planar,"2,5","2,5","2,85","2,98","3,23","2,99","3,38","2,96"
"16,59",Planar,10,0,"9,80","12,47","11,58","12,58","11,57","21,02"
"10,00",Planar,0,10,"4,96","4,08","6,02","4,27","6,08","3,70"
"17,77",Planar,10,10,"9,88","9,84","11,66","10,60","11,71","10,97"
"3,10",Gradual,0,"2,5","1,82","1,62","2,06","1,68","2,25","1,19"
"5,29",Gradual,"2,5","2,5","3,07","2,93","3,54","3,10","3,64","3,08"
"9,97",Gradual,0,10,"4,50","2,73","5,86","2,68","5,99","3,01"
"20,90",Gradual,10,10,"11,19","13,66","13,71","13,23","13,88","23,92"
