Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP-InRays Final (mm),ARAP-InRays Initial (mm),ARAP-TwoPoints Final (mm),ARAP-TwoPoints Initial (mm),ARAP-FarPoints Final (mm),ARAP-FarPoints Initial (mm),Elastic-InRays Final (mm),Elastic-InRays Initial (mm),Elastic-TwoPoints Final (mm),Elastic-TwoPoints Initial (mm),Elastic-FarPoints Final (mm),Elastic-FarPoints Initial (mm),HyperElasticOdgen-InRays Final (mm),HyperElasticOdgen-InRays Initial (mm),HyperElasticOdgen-TwoPoints Final (mm),HyperElasticOdgen-TwoPoints Initial (mm),HyperElasticOdgen-FarPoints Final (mm),HyperElasticOdgen-FarPoints Initial (mm),ARAP_NoGlobal-InRays Final (mm),ARAP_NoGlobal-InRays Initial (mm),ARAP_NoGlobal-TwoPoints Final (mm),ARAP_NoGlobal-TwoPoints Initial (mm),ARAP_NoGlobal-FarPoints Final (mm),ARAP_NoGlobal-FarPoints Initial (mm)
"3,97",Planar,"2,5",0,"3,14","3,01","3,14","3,31","2,76","2,90","3,20","3,01","3,16","3,31","3,25","3,38","4,21","3,01","5,45","3,31","4,53","3,38","3,15","3,01","3,15","3,31","3,61","3,38"
"2,50",Planar,0,"2,5","1,35","1,49","1,44","1,61","1,51","1,97","1,46","1,49","1,60","1,61","1,68","1,77","1,44","1,49","1,41","1,61","1,45","1,77","1,43","1,49","1,43","1,61","1,43","1,77"
"4,94",Planar,"2,5","2,5","3,45","3,45","3,52","3,84","2,79","3,45","3,66","3,45","3,61","3,84","3,73","3,89","4,02","3,45","4,04","3,84","4,37","3,89","3,53","3,45","3,54","3,84","3,55","3,89"
"15,27",Planar,10,0,"12,94","12,46","12,83","13,64","13,99","10,72","18,77","12,46","20,17","13,64","18,75","13,63","37,41","12,46","36,16","13,64","40,52","13,63","13,50","12,46","13,39","13,64","16,62","13,63"
"10,00",Planar,0,10,"4,68","4,97","4,83","5,77","4,80","6,14","4,96","4,97","5,05","5,77","5,00","5,78","4,57","4,97","4,53","5,77","4,30","5,78","4,93","4,97","4,92","5,77","4,74","5,78"
"18,60",Planar,10,10,"14,19","14,09","14,25","15,61","24,77","13,33","21,93","14,09","21,33","15,61","24,04","15,65","36,47","14,09","41,75","15,61","41,85","15,65","15,17","14,09","15,36","15,61","33,90","15,65"
"3,03",Gradual,0,"2,5","1,52","1,66","1,70","1,93","1,58","2,26","1,61","1,66","1,75","1,93","1,72","2,02","1,65","1,66","1,59","1,93","1,48","2,02","1,58","1,66","1,56","1,93","1,60","2,02"
"5,21",Gradual,"2,5","2,5","3,57","3,48","3,54","3,97","2,99","3,66","3,66","3,48","3,65","3,97","3,91","4,05","5,02","3,48","4,79","3,97","6,90","4,05","3,64","3,48","3,59","3,97","3,76","4,05"
"10,66",Gradual,0,10,"2,23","4,56","3,09","5,81","3,66","6,36","4,54","4,56","4,60","5,81","4,48","5,84","4,26","4,56","4,09","5,81","3,90","5,84","4,14","4,56","4,32","5,81","4,33","5,84"
"19,45",Gradual,10,10,"13,05","12,36","13,04","14,52","162,91","12,68","22,61","12,36","22,76","14,52","26,10","14,57","39,94","12,36","44,11","14,52","41,28","14,57","14,34","12,36","14,86","14,52","117,67","14,57"
"4,00",Planar,"2,5",0,"9,80","9,88","9,84","9,86","7,95","8,63","9,91","9,88","9,86","9,86","10,19","10,39","9,85","9,88","9,85","9,86","9,90","10,39","9,79","9,88","9,84","9,86","9,79","10,39"
"2,50",Planar,0,"2,5","8,78","8,92","8,77","8,80","7,06","7,76","8,83","8,92","8,80","8,80","8,96","9,32","8,79","8,92","8,78","8,80","8,80","9,32","8,93","8,92","8,77","8,80","8,55","9,32"
"4,69",Planar,"2,5","2,5","10,14","10,20","10,21","10,26","8,15","8,76","10,20","10,20","10,26","10,26","10,45","10,65","10,19","10,20","10,20","10,26","10,21","10,65","10,39","10,20","10,20","10,26","10,14","10,65"
"15,67",Planar,10,0,"30,55","30,28","30,57","30,88","21,13","22,46","30,93","30,28","30,65","30,88","31,79","31,08","33,31","30,28","32,10","30,88","32,01","31,08","30,82","30,28","30,84","30,88","28,53","31,08"
"10,00",Planar,0,10,"14,09","14,21","14,16","14,49","12,21","13,06","14,13","14,21","14,42","14,49","14,61","14,82","14,14","14,21","14,17","14,49","14,14","14,82","14,10","14,21","14,13","14,49","14,11","14,82"
"19,17",Planar,10,10,"33,50","33,22","33,50","34,12","22,76","26,58","33,79","33,22","33,65","34,12","34,23","34,15","42,05","33,22","51,21","34,12","40,85","34,15","33,49","33,22","33,62","34,12","30,61","34,15"
"22,80",Gradual,0,"2,5","25,46","27,00","25,88","28,59","21,66","26,24","26,92","27,00","27,20","28,59","28,39","28,78","26,81","27,00","27,00","28,59","26,19","28,78","26,51","27,00","27,00","28,59","25,94","28,78"
"22,48",Gradual,"2,5","2,5","28,92","30,26","29,37","31,37","22,53","26,87","30,27","30,26","30,40","31,37","30,29","31,53","30,01","30,26","30,22","31,37","30,16","31,53","30,05","30,26","30,25","31,37","29,90","31,53"
"41,77",Gradual,0,10,"44,54","45,43","44,46","48,64","36,30","44,93","45,32","45,43","45,66","48,64","44,99","48,78","44,48","45,43","44,45","48,64","44,91","48,78","44,49","45,43","44,90","48,64","43,76","48,78"
"46,68",Gradual,10,10,"50,74","52,26","50,36","56,27","40,12","49,83","52,62","52,26","52,83","56,27","60,81","56,20","52,33","52,26","57,08","56,27","57,30","56,20","51,57","52,26","52,02","56,27","51,14","56,20"
"4,14",Planar,"2,5",0,"19,69","19,90","19,71","19,71","16,69","17,59","19,75","19,90","19,71","19,71","19,96","20,50","19,72","19,90","19,71","19,71","19,77","20,50","19,65","19,90","19,72","19,71","19,74","20,50"
"2,50",Planar,0,"2,5","16,70","16,96","16,70","16,72","14,52","15,53","16,73","16,96","16,71","16,72","17,02","17,68","16,67","16,96","16,72","16,72","16,69","17,68","16,71","16,96","16,69","16,72","16,84","17,68"
"4,80",Planar,"2,5","2,5","19,06","19,25","19,07","19,11","16,42","17,31","19,09","19,25","19,08","19,11","19,26","20,05","19,08","19,25","19,10","19,11","19,10","20,05","19,05","19,25","19,07","19,11","19,02","20,05"
"16,08",Planar,10,0,"40,45","40,07","40,41","40,44","32,38","33,49","40,54","40,07","40,42","40,44","40,82","40,88","40,42","40,07","40,41","40,44","40,46","40,88","40,41","40,07","40,42","40,44","38,50","40,88"
"10,00",Planar,0,10,"19,74","20,07","20,59","20,93","18,05","19,08","19,91","20,07","19,83","20,16","20,75","21,09","19,80","20,07","19,89","20,16","19,93","21,09","19,70","20,07","19,79","20,16","19,66","21,09"
"20,04",Planar,10,10,"50,10","50,37","50,65","50,96","38,97","42,37","50,61","50,37","50,62","50,96","50,82","51,30","50,58","50,37","50,70","50,96","50,61","51,30","49,21","50,37","50,61","50,96","47,61","51,30"
"41,20",Gradual,0,"2,5","60,32","61,66","60,51","64,58","58,12","62,72","61,37","61,66","61,84","64,58","61,34","64,91","60,66","61,66","60,48","64,58","60,01","64,91","61,00","61,66","61,55","64,58","60,76","64,91"
