Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP-InRays Final (mm),ARAP-InRays Initial (mm),ARAP-TwoPoints Final (mm),ARAP-TwoPoints Initial (mm),ARAP-FarPoints Final (mm),ARAP-FarPoints Initial (mm),Elastic-InRays Final (mm),Elastic-InRays Initial (mm),Elastic-TwoPoints Final (mm),Elastic-TwoPoints Initial (mm),Elastic-FarPoints Final (mm),Elastic-FarPoints Initial (mm),HyperElasticOdgen-InRays Final (mm),HyperElasticOdgen-InRays Initial (mm),HyperElasticOdgen-TwoPoints Final (mm),HyperElasticOdgen-TwoPoints Initial (mm),HyperElasticOdgen-FarPoints Final (mm),HyperElasticOdgen-FarPoints Initial (mm),ARAP_NoGlobal-InRays Final (mm),ARAP_NoGlobal-InRays Initial (mm),ARAP_NoGlobal-TwoPoints Final (mm),ARAP_NoGlobal-TwoPoints Initial (mm),ARAP_NoGlobal-FarPoints Final (mm),ARAP_NoGlobal-FarPoints Initial (mm)
"3,95",Planar,"2,5",0,"3,29","3,08","3,23","3,37","3,61","3,41","3,33","3,08","3,26","3,37","3,46","3,41","5,71","3,08","7,03","3,37","4,74","3,41","3,35","3,08","3,33","3,37","3,52","3,41"
"2,50",Planar,0,"2,5","1,42","1,51","1,45","1,64","1,34","1,77","1,48","1,51","1,64","1,64","1,69","1,77","1,47","1,51","1,47","1,64","1,48","1,77","1,46","1,51","1,47","1,64","1,58","1,77"
"4,73",Planar,"2,5","2,5","3,23","3,17","3,23","3,49","3,14","3,57","3,38","3,17","3,37","3,49","3,50","3,57","6,12","3,17","6,80","3,49","5,28","3,57","3,32","3,17","3,31","3,49","4,14","3,57"
"16,05",Planar,10,0,"12,99","12,24","12,95","13,77","13,60","13,82","20,89","12,24","13,22","13,77","17,18","13,82","37,35","12,24","39,89","13,77","42,38","13,82","14,88","12,24","14,90","13,77","16,51","13,82"
"10,00",Planar,0,10,"4,41","4,65","4,56","5,57","3,66","5,62","4,62","4,65","4,72","5,57","4,70","5,62","4,60","4,65","4,48","5,57","4,48","5,62","4,49","4,65","4,07","5,57","4,45","5,62"
"19,14",Planar,10,10,"13,17","12,90","13,17","14,59","22,53","14,60","20,54","12,90","13,95","14,59","22,55","14,60","36,42","12,90","45,01","14,59","32,53","14,60","15,57","12,90","16,48","14,59","18,32","14,60"
"3,24",Gradual,0,"2,5","1,74","1,73","1,74","2,03","1,28","2,16","1,69","1,73","1,83","2,03","1,82","2,16","1,71","1,73","1,69","2,03","1,60","2,16","1,55","1,73","1,61","2,03","1,64","2,16"
"5,36",Gradual,"2,5","2,5","3,68","3,59","3,70","4,03","3,60","4,08","3,68","3,48","3,74","4,03","3,85","4,08","5,29","3,59","4,94","4,03","4,88","4,08","3,72","3,59","3,75","4,03","3,62","4,08"
"10,53",Gradual,0,10,"2,51","4,62","3,54","5,82","3,26","5,86","4,58","4,62","4,62","5,82","4,47","5,86","4,18","4,62","4,32","5,82","4,06","5,86","4,36","4,62","4,33","5,82","4,57","5,86"
"19,45",Gradual,10,10,"13,17","12,55","13,10","14,68","15,49","14,64","17,53","12,55","15,39","14,68","19,72","14,64","48,84","12,55","47,09","14,68","47,40","14,64","15,44","12,55","13,48","14,68","18,46","14,64"
