FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
level0,checks,,,,,,,,,,,,,,,,,,,
level0,checks,INITIAL,,,"0,20",,,,,,,"7,75","258,61","378,56",,,,,,
level0,checks,1 / 15,,,"0,54",,,,,,,"7,75","258,62","378,47",,,,,,
level0,checks,2 / 15,,,"4,39",,,,,,,"7,75","257,77","377,30",,,,,,
level0,checks,3 / 15,,,"4,50",,,,,,,"7,75","254,58","372,05",,,,,,
level0,checks,4 / 15,,,"7,27",,,,,,,"7,75","251,32","364,82",,,,,,
level0,checks,5 / 15,,,"16,33",,,,,,,"7,75","263,05","358,89",,,,,,
level0,checks,6 / 15,,,"8,57",,,,,,,"7,75","266,65","358,15",,,,,,
level0,checks,7 / 15,,,"4,63",,,,,,,"7,75","276,36","365,95",,,,,,
level0,checks,8 / 15,,,"3,24",,,,,,,"7,75","276,76","363,96",,,,,,
level0,checks,9 / 15,,,"1,46",,,,,,,"7,75","275,51","362,21",,,,,,
level0,checks,10 / 15,,,"3,20",,,,,,,"7,75","276,09","363,86",,,,,,
level0,checks,11 / 15,,,"1,32",,,,,,,"7,75","277,21","365,11",,,,,,
level0,checks,12 / 15,,,"1,02",,,,,,,"7,75","277,61","366,02",,,,,,
level0,checks,13 / 15,,,"0,69",,,,,,,"7,75","277,89","366,58",,,,,,
level0,checks,14 / 15,,,"2,45",,,,,,,"7,75","280,47","371,13",,,,,,
level0,checks,FINAL,,,"0,65",,,,,,,"7,75","280,41","371,61","-8,43","3619,72","31,47","0,77","216,00","410,00"
level0,no_checks,,,,,,,,,,,,,,,,,,,
level0,no_checks,INITIAL,,,"0,25",,,,,,,"7,95","261,02","381,28",,,,,,
level0,no_checks,1 / 15,,,"1,62",,,,,,,"7,95","260,97","380,79",,,,,,
level0,no_checks,2 / 15,,,"3,99",,,,,,,"7,95","262,72","378,06",,,,,,
level0,no_checks,3 / 15,,,"7,60",,,,,,,"7,95","265,61","374,08",,,,,,
level0,no_checks,4 / 15,,,"8,27",,,,,,,"7,95","265,64","351,95",,,,,,
level0,no_checks,5 / 15,,,"4,27",,,,,,,"7,95","276,29","359,60",,,,,,
level0,no_checks,6 / 15,,,"3,09",,,,,,,"7,95","281,43","363,50",,,,,,
level0,no_checks,7 / 15,,,"1,57",,,,,,,"7,95","281,97","363,80",,,,,,
level0,no_checks,8 / 15,,,"0,84",,,,,,,"7,95","281,49","363,02",,,,,,
level0,no_checks,9 / 15,,,"1,54",,,,,,,"7,95","282,40","364,02",,,,,,
level0,no_checks,10 / 15,,,"0,54",,,,,,,"7,95","252,27","335,81",,,,,,
level0,no_checks,11 / 15,,,"1,17",,,,,,,"7,95","230,34","316,71",,,,,,
level0,no_checks,12 / 15,,,"1,48",,,,,,,"7,95","227,91","315,12",,,,,,
level0,no_checks,13 / 15,,,"5,85",,,,,,,"7,95","220,79","313,13",,,,,,
level0,no_checks,14 / 15,,,"14,97",,,,,,,"7,95","272,56","383,93",,,,,,
level0,no_checks,FINAL,,,"6,83",,,,,,,"7,95","302,12","405,70","-15,74","3801,25","31,47","0,77","216,00","412,00"
level1,no_checks,,,,,,,,,,,,,,,,,,,
level1,no_checks,INITIAL,,,"1,71",,,,,,,"29,35","1007,98","1120,79",,,,,,
level1,no_checks,1 / 15,,,"1,61",,,,,,,"29,35","1007,32","1119,93",,,,,,
level1,no_checks,2 / 15,,,"3,62",,,,,,,"29,35","1002,92","1115,55",,,,,,
level1,no_checks,3 / 15,,,"5,91",,,,,,,"29,35","1000,23","1107,66",,,,,,
level1,no_checks,4 / 15,,,"6,82",,,,,,,"29,35","991,38","1095,57",,,,,,
level1,no_checks,5 / 15,,,"7,27",,,,,,,"29,35","989,90","1088,96",,,,,,
level1,no_checks,6 / 15,,,"5,57",,,,,,,"29,35","980,71","1077,35",,,,,,
level1,no_checks,7 / 15,,,"5,21",,,,,,,"29,35","979,11","1074,26",,,,,,
level1,no_checks,8 / 15,,,"3,41",,,,,,,"29,35","979,27","1074,13",,,,,,
level1,no_checks,9 / 15,,,"2,74",,,,,,,"29,35","978,21","1072,98",,,,,,
level1,no_checks,10 / 15,,,"2,47",,,,,,,"29,35","976,86","1071,80",,,,,,
level1,no_checks,11 / 15,,,"2,01",,,,,,,"29,35","976,28","1071,21",,,,,,
level1,no_checks,12 / 15,,,"2,10",,,,,,,"29,35","975,69","1070,82",,,,,,
level1,no_checks,13 / 15,,,"1,99",,,,,,,"29,35","975,03","1070,20",,,,,,
level1,no_checks,14 / 15,,,"1,79",,,,,,,"29,35","975,06","1070,06",,,,,,
level1,no_checks,FINAL,,,"1,60",,,,,,,"29,35","974,97","1069,98","3,27","3322,11","46,97","0,69","185,00","330,00"
level2,no_checks,,,,,,,,,,,,,,,,,,,
level2,no_checks,INITIAL,,,"4,02",,,,,,,"66,60","1023,61","1187,09",,,,,,
level2,no_checks,1 / 15,,,"4,59",,,,,,,"66,60","1022,82","1186,08",,,,,,
level2,no_checks,2 / 15,,,"4,84",,,,,,,"66,60","1022,27","1185,45",,,,,,
level2,no_checks,3 / 15,,,"4,70",,,,,,,"66,60","1021,50","1184,67",,,,,,
level2,no_checks,4 / 15,,,"4,62",,,,,,,"66,60","1020,70","1183,90",,,,,,
level2,no_checks,5 / 15,,,"4,59",,,,,,,"66,60","1019,97","1183,26",,,,,,
level2,no_checks,6 / 15,,,"4,73",,,,,,,"66,60","1019,11","1182,50",,,,,,
level2,no_checks,7 / 15,,,"5,76",,,,,,,"66,60","1018,46","1182,11",,,,,,
level2,no_checks,8 / 15,,,"10,68",,,,,,,"66,60","988,77","1157,66",,,,,,
level2,no_checks,9 / 15,,,"10,24",,,,,,,"66,60","979,41","1148,46",,,,,,
level2,no_checks,10 / 15,,,"9,49",,,,,,,"66,60","979,23","1147,78",,,,,,
level2,no_checks,11 / 15,,,"8,85",,,,,,,"66,60","978,87","1146,98",,,,,,
level2,no_checks,12 / 15,,,"8,79",,,,,,,"66,60","978,43","1146,14",,,,,,
