FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,12","0,00",,,,,,,"1,32","39,31","40,35","5,10",,,,,,
seq0,checks,1 / 100,,,"0,05","0,12","0,08",,,,,,,"1,32","39,42","40,12","1,79",,,,,,
seq0,checks,2 / 100,,,"0,05","0,12","0,08",,,,,,,"1,32","39,42","40,11","1,80",,,,,,
seq0,checks,3 / 100,,,"0,05","0,12","0,08",,,,,,,"1,32","39,42","40,11","1,81",,,,,,
seq0,checks,FINAL,,,"0,05","0,12","0,08",,,,,,,"1,32","39,42","40,11","1,81","-0,27","2980,68","2,50","1,09","409,00","654,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,13","0,00",,,,,,,"1,32","39,30","40,33","5,11",,,,,,
seq0,no_checks,1 / 100,,,"0,05","0,13","0,12",,,,,,,"1,32","39,58","40,38","4,10",,,,,,
seq0,no_checks,2 / 100,,,"0,05","0,13","0,12",,,,,,,"1,32","39,58","40,38","4,10",,,,,,
seq0,no_checks,FINAL,,,"0,05","0,13","0,12",,,,,,,"1,32","39,58","40,38","4,10","-0,72","2992,02","2,50","1,09","414,00","662,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,05","0,30","1,04",,,,,,,"1,49","18,06","23,74","15,18",,,,,,
seq1,no_checks,1 / 100,,,"0,22","0,13","1,73",,,,,,,"1,49","12,04","14,34","7,36",,,,,,
seq1,no_checks,2 / 100,,,"0,21","0,13","1,67",,,,,,,"1,49","11,96","14,05","7,01",,,,,,
seq1,no_checks,3 / 100,,,"0,21","0,13","1,67",,,,,,,"1,49","11,96","14,05","7,01",,,,,,
seq1,no_checks,FINAL,,,"0,21","0,13","1,67",,,,,,,"1,49","11,96","14,05","7,01","33,75","801,37","2,50","1,44","470,00","704,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,11","2,83","5,37",,,,,,,"1,97","23,97","28,02","21,26",,,,,,
seq2,no_checks,1 / 100,,,"0,41","0,18","3,67",,,,,,,"1,97","19,94","20,64","2,29",,,,,,
seq2,no_checks,2 / 100,,,"0,39","0,18","3,26",,,,,,,"1,97","19,96","20,65","2,25",,,,,,
seq2,no_checks,3 / 100,,,"0,40","0,18","3,27",,,,,,,"1,97","19,96","20,65","2,25",,,,,,
seq2,no_checks,FINAL,,,"0,40","0,18","3,27",,,,,,,"1,97","19,96","20,65","2,25","16,70","1013,82","2,50","2,46","403,00","742,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,15","1,22","7,97",,,,,,,"1,95","15,59","20,77","15,64",,,,,,
seq3,no_checks,1 / 100,,,"0,34","1,18","2,02",,,,,,,"1,95","15,47","20,52","15,48",,,,,,
seq3,no_checks,2 / 100,,,"0,32","1,17","1,97",,,,,,,"1,95","15,46","20,45","15,45",,,,,,
seq3,no_checks,3 / 100,,,"0,31","1,17","1,95",,,,,,,"1,95","15,46","20,44","15,44",,,,,,
seq3,no_checks,4 / 100,,,"0,31","1,17","1,92",,,,,,,"1,95","15,46","20,44","15,44",,,,,,
seq3,no_checks,FINAL,,,"0,31","1,17","1,92",,,,,,,"1,95","15,46","20,44","15,44","0,84","794,73","2,50","2,26","603,00","1158,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,06","0,35","7,46",,,,,,,"3,29","26,33","30,56","12,31",,,,,,
seq4,no_checks,1 / 100,,,"0,54","0,07","54,95",,,,,,,"3,29","33,09","34,18","0,00",,,,,,
seq4,no_checks,2 / 100,,,"0,51","0,07","13,89",,,,,,,"3,29","33,09","34,17","0,07",,,,,,
seq4,no_checks,3 / 100,,,"0,51","0,07","13,90",,,,,,,"3,29","33,09","34,17","0,07",,,,,,
seq4,no_checks,FINAL,,,"0,51","0,07","13,90",,,,,,,"3,29","33,09","34,17","0,07","-25,68","1005,77","2,50","2,16","122,00","244,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,20","0,67","16,80",,,,,,,"6,25","47,48","48,52","5,52",,,,,,
seq5,no_checks,1 / 100,,,"4,44","0,06","696,69",,,,,,,"6,25","50,88","51,87","0,00",,,,,,
seq5,no_checks,2 / 100,,,"4,44","0,06","696,70",,,,,,,"6,25","50,88","51,87","0,00",,,,,,
seq5,no_checks,FINAL,,,"4,44","0,06","696,70",,,,,,,"6,25","50,88","51,87","0,00","-7,18","814,28","2,50","4,73","103,00","204,00"
