FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,12","0,00",,,,,,,"1,32","39,33","40,36","5,09",,,,,,
seq0,checks,1 / 100,,,"0,09","0,12","0,18",,,,,,,"1,32","39,60","40,37","3,81",,,,,,
seq0,checks,2 / 100,,,"0,09","0,12","0,18",,,,,,,"1,32","39,59","40,37","3,82",,,,,,
seq0,checks,3 / 100,,,"0,09","0,12","0,20",,,,,,,"1,32","39,59","40,36","3,84",,,,,,
seq0,checks,4 / 100,,,"0,09","0,12","0,19",,,,,,,"1,32","39,59","40,36","3,84",,,,,,
seq0,checks,FINAL,,,"0,09","0,12","0,19",,,,,,,"1,32","39,59","40,36","3,84","-0,67","3001,28","2,50","1,09","415,00","664,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,13","0,00",,,,,,,"1,33","39,19","40,22","5,13",,,,,,
seq0,no_checks,1 / 100,,,"0,08","0,13","0,17",,,,,,,"1,33","39,48","40,29","4,17",,,,,,
seq0,no_checks,2 / 100,,,"0,08","0,13","0,17",,,,,,,"1,33","39,48","40,29","4,17",,,,,,
seq0,no_checks,FINAL,,,"0,08","0,13","0,17",,,,,,,"1,33","39,48","40,29","4,17","-0,74","2971,49","2,50","1,08","408,00","652,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,09","0,30","1,14",,,,,,,"1,49","18,13","23,77","15,25",,,,,,
seq1,no_checks,1 / 100,,,"0,23","0,14","1,99",,,,,,,"1,49","11,93","14,18","7,22",,,,,,
seq1,no_checks,2 / 100,,,"0,25","0,14","1,91",,,,,,,"1,49","11,92","14,14","7,19",,,,,,
seq1,no_checks,3 / 100,,,"0,25","0,14","1,95",,,,,,,"1,49","11,90","14,07","7,11",,,,,,
seq1,no_checks,4 / 100,,,"0,26","0,14","1,94",,,,,,,"1,49","11,88","14,03","7,06",,,,,,
seq1,no_checks,5 / 100,,,"0,26","0,14","1,93",,,,,,,"1,49","11,88","14,01","7,03",,,,,,
seq1,no_checks,6 / 100,,,"0,26","0,14","1,93",,,,,,,"1,49","11,87","13,99","7,01",,,,,,
seq1,no_checks,7 / 100,,,"0,26","0,14","1,72",,,,,,,"1,49","11,79","13,57","6,43",,,,,,
seq1,no_checks,8 / 100,,,"0,29","0,13","1,47",,,,,,,"1,49","11,74","13,30","6,04",,,,,,
seq1,no_checks,9 / 100,,,"0,29","0,13","1,47",,,,,,,"1,49","11,74","13,30","6,04",,,,,,
seq1,no_checks,FINAL,,,"0,29","0,13","1,47",,,,,,,"1,49","11,74","13,30","6,04","35,25","785,88","2,50","1,44","471,00","698,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,13","2,77","5,74",,,,,,,"1,97","23,89","27,96","21,24",,,,,,
seq2,no_checks,1 / 100,,,"0,34","0,17","3,86",,,,,,,"1,97","19,98","20,67","2,26",,,,,,
seq2,no_checks,2 / 100,,,"0,32","0,17","3,04",,,,,,,"1,97","19,98","20,67","2,26",,,,,,
seq2,no_checks,3 / 100,,,"0,32","0,17","3,02",,,,,,,"1,97","19,98","20,67","2,26",,,,,,
seq2,no_checks,FINAL,,,"0,32","0,17","3,02",,,,,,,"1,97","19,98","20,67","2,26","16,35","1013,69","2,50","2,45","403,00","738,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,15","1,18","8,38",,,,,,,"1,95","15,65","20,78","15,72",,,,,,
seq3,no_checks,1 / 100,,,"0,35","0,84","2,12",,,,,,,"1,95","14,54","18,63","14,41",,,,,,
seq3,no_checks,2 / 100,,,"0,35","0,84","2,07",,,,,,,"1,95","14,52","18,61","14,39",,,,,,
seq3,no_checks,3 / 100,,,"0,34","0,84","2,04",,,,,,,"1,95","14,52","18,60","14,38",,,,,,
seq3,no_checks,4 / 100,,,"0,35","0,84","2,05",,,,,,,"1,95","14,51","18,59","14,38",,,,,,
seq3,no_checks,5 / 100,,,"0,35","0,84","2,03",,,,,,,"1,95","14,51","18,59","14,38",,,,,,
seq3,no_checks,FINAL,,,"0,35","0,84","2,03",,,,,,,"1,95","14,51","18,59","14,38","7,27","742,47","2,50","2,26","603,00","1158,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,07","0,33","7,32",,,,,,,"3,28","26,54","30,72","12,17",,,,,,
seq4,no_checks,1 / 100,,,"0,18","0,08","2,77",,,,,,,"3,28","30,84","32,33","3,43",,,,,,
seq4,no_checks,2 / 100,,,"0,29","0,07","4,29",,,,,,,"3,28","31,37","32,76","2,70",,,,,,
seq4,no_checks,3 / 100,,,"0,25","0,07","4,14",,,,,,,"3,28","31,51","32,88","2,52",,,,,,
seq4,no_checks,4 / 100,,,"0,25","0,07","4,25",,,,,,,"3,28","31,56","32,92","2,46",,,,,,
seq4,no_checks,5 / 100,,,"0,25","0,07","4,43",,,,,,,"3,28","31,59","32,95","2,42",,,,,,
seq4,no_checks,6 / 100,,,"0,26","0,07","4,50",,,,,,,"3,28","31,61","32,96","2,40",,,,,,
seq4,no_checks,7 / 100,,,"0,25","0,07","4,54",,,,,,,"3,28","31,62","32,97","2,38",,,,,,
seq4,no_checks,FINAL,,,"0,25","0,07","4,54",,,,,,,"3,28","31,62","32,97","2,38","-19,14","963,91","2,50","2,17","121,00","242,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,37","0,68","26,15",,,,,,,"6,25","47,47","48,52","5,53",,,,,,
seq5,no_checks,1 / 100,,,"4,57","0,06","102,26",,,,,,,"6,25","50,79","51,79","0,29",,,,,,
seq5,no_checks,2 / 100,,,"3,84","0,06","94,03",,,,,,,"6,25","50,88","51,87","0,00",,,,,,
seq5,no_checks,3 / 100,,,"3,84","0,06","94,03",,,,,,,"6,25","50,88","51,87","0,00",,,,,,
seq5,no_checks,FINAL,,,"3,84","0,06","94,03",,,,,,,"6,25","50,88","51,87","0,00","-7,18","814,50","2,50","4,73","103,00","204,00"
