Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_not_scaled_depth-InRays Improvement (%),ARAP_not_scaled_depth-InRays Final Vs Mov (%),ARAP_not_scaled_depth-InRays Initial VS Mov (%),ARAP_not_scaled_depth-TwoPoints Improvement (%),ARAP_not_scaled_depth-TwoPoints Final Vs Mov (%),ARAP_not_scaled_depth-TwoPoints Initial VS Mov (%),ARAP_not_scaled_depth-FarPoints Improvement (%),ARAP_not_scaled_depth-FarPoints Final Vs Mov (%),ARAP_not_scaled_depth-FarPoints Initial VS Mov (%)
"4,15",Planar,"2,5",0,"-9,71","74,81","68,19","1,23","74,13","75,18","2,39","75,13","77,11"
"2,50",Planar,0,"2,5","9,85","62,47","69,20","11,35","64,81","73,20","23,01","62,85","81,60"
"4,73",Planar,"2,5","2,5","5,96","56,60","60,25","20,21","54,43","68,29","23,08","54,88","71,46"
"16,59",Planar,10,0,"50,42","29,29","59,07","9,71","63,05","69,80","61,78","26,66","69,74"
"10,00",Planar,0,10,"28,98","35,20","49,60","20,30","47,98","60,20","39,05","37,08","60,80"
"17,77",Planar,10,10,"2,25","54,33","55,60","19,48","52,84","65,62","70,35","19,54","65,90"
"3,10",Gradual,0,"2,5","34,55","38,53","58,71","11,30","58,98","66,45","51,16","35,49","72,58"
"5,29",Gradual,"2,5","2,5","-6,81","62,11","58,03","18,27","54,77","66,92","16,19","57,64","68,81"
"9,97",Gradual,0,10,"54,87","20,36","45,14","54,06","27,00","58,78","68,80","18,74","60,08"
"20,90",Gradual,10,10,"57,61","22,70","53,54","35,90","42,06","65,60","20,06","53,11","66,41"
"3,98",Planar,"2,5",0,"1,68","409,03","415,83","0,02","409,81","409,80","70,00","131,19","437,19"
"2,50",Planar,0,"2,5","2,99","586,27","604,40","0,16","592,44","593,60","65,44","220,17","637,20"
"4,56",Planar,"2,5","2,5","1,55","372,72","378,73","0,07","374,12","374,56","64,20","140,74","393,42"
"16,23",Planar,10,0,"-0,75","216,77","215,22","0,06","217,79","217,99","2,96","215,86","222,49"
"10,00",Planar,0,10,"26,23","145,77","197,60","0,93","196,17","198,00","29,81","145,37","207,10"
"18,52",Planar,10,10,"49,79","98,60","196,33","0,25","199,54","200,00","50,60","100,55","203,51"
"39,57",Gradual,0,"2,5","55,89","60,90","138,06","3,54","139,25","144,35","5,62","137,74","145,94"
"42,25",Gradual,"2,5","2,5","56,71","60,42","139,57","3,65","141,24","146,60","6,53","137,82","147,46"
"73,59",Gradual,0,10,"59,09","50,02","122,29","62,09","49,53","130,67","4,65","125,19","131,30"
"76,42",Gradual,10,10,"56,67","56,72","130,90","4,91","131,50","138,29","2,95","134,64","138,72"
