FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00",,,,,,,"1,84","10,79","12,24",,,,,,
seq0,checks,1 / 50,,,"0,00",,,,,,,"1,84","2,04","2,35",,,,,,
seq0,checks,2 / 50,,,"0,00",,,,,,,"1,84","2,04","2,35",,,,,,
seq0,checks,FINAL,,,"0,00",,,,,,,"1,84","2,04","2,35","81,06","111,11","5,30","2,09","163,00","86,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,01",,,,,,,"1,35","12,82","28,93",,,,,,
seq0,no_checks,1 / 50,,,"0,01",,,,,,,"1,35","12,80","28,88",,,,,,
seq0,no_checks,2 / 50,,,"0,02",,,,,,,"1,35","12,79","28,58",,,,,,
seq0,no_checks,3 / 50,,,"0,03",,,,,,,"1,35","12,33","27,15",,,,,,
seq0,no_checks,4 / 50,,,"0,02",,,,,,,"1,35","12,45","27,25",,,,,,
seq0,no_checks,5 / 50,,,"0,03",,,,,,,"1,35","12,87","27,51",,,,,,
seq0,no_checks,6 / 50,,,"0,04",,,,,,,"1,35","12,97","27,55",,,,,,
seq0,no_checks,7 / 50,,,"0,01",,,,,,,"1,35","12,08","12,41",,,,,,
seq0,no_checks,8 / 50,,,"0,04",,,,,,,"1,35","12,14","12,48",,,,,,
seq0,no_checks,9 / 50,,,"0,07",,,,,,,"1,35","12,67","13,74",,,,,,
seq0,no_checks,10 / 50,,,"0,06",,,,,,,"1,35","12,85","14,26",,,,,,
seq0,no_checks,11 / 50,,,"0,37",,,,,,,"1,35","13,45","15,32",,,,,,
seq0,no_checks,12 / 50,,,"0,86",,,,,,,"1,35","14,79","18,36",,,,,,
seq0,no_checks,13 / 50,,,"0,57",,,,,,,"1,35","15,47","20,03",,,,,,
seq0,no_checks,14 / 50,,,"0,66",,,,,,,"1,35","15,91","20,91",,,,,,
seq0,no_checks,15 / 50,,,"0,71",,,,,,,"1,35","16,77","23,19",,,,,,
seq0,no_checks,16 / 50,,,"0,11",,,,,,,"1,35","34,29","36,07",,,,,,
seq0,no_checks,17 / 50,,,"0,16",,,,,,,"1,35","34,33","36,09",,,,,,
seq0,no_checks,18 / 50,,,"0,27",,,,,,,"1,35","34,80","36,73",,,,,,
seq0,no_checks,19 / 50,,,"0,59",,,,,,,"1,35","35,62","38,04",,,,,,
seq0,no_checks,20 / 50,,,"0,13",,,,,,,"1,35","38,50","40,42",,,,,,
seq0,no_checks,21 / 50,,,"0,19",,,,,,,"1,35","38,54","40,45",,,,,,
seq0,no_checks,22 / 50,,,"0,37",,,,,,,"1,35","38,88","40,88",,,,,,
seq0,no_checks,23 / 50,,,"0,43",,,,,,,"1,35","39,13","41,19",,,,,,
seq0,no_checks,24 / 50,,,"1,15",,,,,,,"1,35","39,68","41,95",,,,,,
seq0,no_checks,25 / 50,,,"0,14",,,,,,,"1,35","39,56","41,64",,,,,,
seq0,no_checks,26 / 50,,,"0,22",,,,,,,"1,35","39,60","41,66",,,,,,
seq0,no_checks,27 / 50,,,"0,42",,,,,,,"1,35","40,01","42,17",,,,,,
seq0,no_checks,28 / 50,,,"0,41",,,,,,,"1,35","40,14","42,36",,,,,,
seq0,no_checks,29 / 50,,,"0,55",,,,,,,"1,35","40,31","42,64",,,,,,
seq0,no_checks,30 / 50,,,"1,39",,,,,,,"1,35","41,76","45,52",,,,,,
seq0,no_checks,31 / 50,,,"0,08",,,,,,,"1,35","58,42","60,20",,,,,,
seq0,no_checks,32 / 50,,,"0,17",,,,,,,"1,35","58,45","60,23",,,,,,
seq0,no_checks,33 / 50,,,"0,31",,,,,,,"1,35","58,89","60,79",,,,,,
seq0,no_checks,34 / 50,,,"0,38",,,,,,,"1,35","59,03","60,98",,,,,,
seq0,no_checks,35 / 50,,,"1,39",,,,,,,"1,35","59,68","61,98",,,,,,
seq0,no_checks,36 / 50,,,"0,99",,,,,,,"1,35","60,21","62,74",,,,,,
seq0,no_checks,37 / 50,,,"1,00",,,,,,,"1,35","60,29","62,89",,,,,,
seq0,no_checks,38 / 50,,,"0,97",,,,,,,"1,35","60,51","63,21",,,,,,
seq0,no_checks,39 / 50,,,"1,44",,,,,,,"1,35","60,84","63,64",,,,,,
seq0,no_checks,40 / 50,,,"1,73",,,,,,,"1,35","61,89","65,29",,,,,,
seq0,no_checks,41 / 50,,,"2,24",,,,,,,"1,35","62,51","66,26",,,,,,
seq0,no_checks,42 / 50,,,"1,64",,,,,,,"1,35","62,68","66,52",,,,,,
seq0,no_checks,43 / 50,,,"1,48",,,,,,,"1,35","62,68","66,53",,,,,,
seq0,no_checks,44 / 50,,,"1,47",,,,,,,"1,35","62,73","66,63",,,,,,
seq0,no_checks,45 / 50,,,"1,37",,,,,,,"1,35","63,07","67,30",,,,,,
seq0,no_checks,46 / 50,,,"1,67",,,,,,,"1,35","63,94","69,43",,,,,,
seq0,no_checks,47 / 50,,,"1,23",,,,,,,"1,35","64,37","70,16",,,,,,
seq0,no_checks,48 / 50,,,"1,48",,,,,,,"1,35","64,71","71,42",,,,,,
seq0,no_checks,49 / 50,,,"1,44",,,,,,,"1,35","64,71","71,47",,,,,,
seq0,no_checks,FINAL,,,"3,51",,,,,,,"1,35","65,80","74,62","-413,42","4881,71","1,77","2,27","418,00","836,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,01",,,,,,,"1,63","20,92","44,34",,,,,,
seq1,no_checks,1 / 50,,,"0,01",,,,,,,"1,63","20,85","44,17",,,,,,
seq1,no_checks,2 / 50,,,"0,02",,,,,,,"1,63","20,82","44,06",,,,,,
seq1,no_checks,3 / 50,,,"0,02",,,,,,,"1,63","20,69","43,61",,,,,,
seq1,no_checks,4 / 50,,,"0,02",,,,,,,"1,63","20,25","42,58",,,,,,
seq1,no_checks,5 / 50,,,"0,02",,,,,,,"1,63","20,25","42,58",,,,,,
seq1,no_checks,6 / 50,,,"0,02",,,,,,,"1,63","20,25","42,58",,,,,,
seq1,no_checks,7 / 50,,,"0,02",,,,,,,"1,63","20,25","42,58",,,,,,
seq1,no_checks,8 / 50,,,"0,02",,,,,,,"1,63","20,25","42,58",,,,,,
seq1,no_checks,FINAL,,,"0,02",,,,,,,"1,63","20,25","42,58","3,19","1239,94","1,77","2,59","391,00","782,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,01",,,,,,,"1,95","44,52","169,88",,,,,,
seq2,no_checks,1 / 50,,,"0,01",,,,,,,"1,95","44,28","168,79",,,,,,
seq2,no_checks,2 / 50,,,"0,01",,,,,,,"1,95","44,29","168,79",,,,,,
seq2,no_checks,3 / 50,,,"0,01",,,,,,,"1,95","44,30","168,79",,,,,,
seq2,no_checks,4 / 50,,,"0,01",,,,,,,"1,95","44,30","168,79",,,,,,
seq2,no_checks,5 / 50,,,"0,01",,,,,,,"1,95","44,30","168,79",,,,,,
seq2,no_checks,6 / 50,,,"0,01",,,,,,,"1,95","44,31","168,79",,,,,,
seq2,no_checks,7 / 50,,,"0,01",,,,,,,"1,95","44,31","168,79",,,,,,
seq2,no_checks,8 / 50,,,"0,01",,,,,,,"1,95","44,31","168,79",,,,,,
seq2,no_checks,9 / 50,,,"0,01",,,,,,,"1,95","44,31","168,79",,,,,,
seq2,no_checks,10 / 50,,,"0,01",,,,,,,"1,95","44,31","168,79",,,,,,
seq2,no_checks,11 / 50,,,"0,01",,,,,,,"1,95","44,31","168,79",,,,,,
seq2,no_checks,12 / 50,,,"0,01",,,,,,,"1,95","44,31","168,79",,,,,,
seq2,no_checks,13 / 50,,,"0,01",,,,,,,"1,95","44,31","168,76",,,,,,
seq2,no_checks,14 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,15 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,16 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,17 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,18 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,19 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,20 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,21 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,22 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,23 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,24 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,25 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,26 / 50,,,"0,01",,,,,,,"1,95","44,31","168,75",,,,,,
seq2,no_checks,27 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,28 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,29 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,30 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,31 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,32 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,33 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,34 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,35 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,36 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,37 / 50,,,"0,01",,,,,,,"1,95","44,32","168,75",,,,,,
seq2,no_checks,38 / 50,,,"0,02",,,,,,,"1,95","44,39","168,76",,,,,,
seq2,no_checks,39 / 50,,,"0,03",,,,,,,"1,95","44,43","168,76",,,,,,
seq2,no_checks,40 / 50,,,"0,03",,,,,,,"1,95","44,53","168,78",,,,,,
seq2,no_checks,41 / 50,,,"0,39",,,,,,,"1,95","44,62","168,79",,,,,,
seq2,no_checks,42 / 50,,,"0,05",,,,,,,"1,95","44,77","168,83",,,,,,
seq2,no_checks,43 / 50,,,"0,12",,,,,,,"1,95","44,84","168,84",,,,,,
seq2,no_checks,44 / 50,,,"0,21",,,,,,,"1,95","44,86","168,84",,,,,,
seq2,no_checks,45 / 50,,,"0,05",,,,,,,"1,95","44,97","168,86",,,,,,
seq2,no_checks,46 / 50,,,"0,10",,,,,,,"1,95","45,03","168,87",,,,,,
seq2,no_checks,47 / 50,,,"0,15",,,,,,,"1,95","45,06","168,87",,,,,,
seq2,no_checks,48 / 50,,,"0,25",,,,,,,"1,95","45,14","168,88",,,,,,
seq2,no_checks,49 / 50,,,"0,22",,,,,,,"1,95","45,19","168,89",,,,,,
seq2,no_checks,FINAL,,,"0,21",,,,,,,"1,95","45,18","168,89","-1,47","2316,42","1,77","3,03","381,00","762,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,01",,,,,,,"1,94","47,51","196,71",,,,,,
seq3,no_checks,1 / 50,,,"2,86",,,,,,,"1,94","73,35","159,71",,,,,,
