FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,04","0,01",,,,,,,"1,84","10,83","12,32","10,90",,,,,,
seq0,checks,1 / 100,,,"0,01","0,03","0,01",,,,,,,"1,84","2,19","2,47","0,00",,,,,,
seq0,checks,2 / 100,,,"0,01","0,03","0,01",,,,,,,"1,84","2,19","2,47","0,00",,,,,,
seq0,checks,FINAL,,,"0,01","0,03","0,01",,,,,,,"1,84","2,19","2,47","0,00","79,81","118,93","5,30","2,09","159,00","86,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,04","0,35","0,82",,,,,,,"1,35","8,74","11,71","8,01",,,,,,
seq0,no_checks,1 / 100,,,"0,16","0,27","0,53",,,,,,,"1,35","5,79","6,72","4,69",,,,,,
seq0,no_checks,2 / 100,,,"0,16","0,27","0,49",,,,,,,"1,35","5,79","6,71","4,69",,,,,,
seq0,no_checks,3 / 100,,,"0,16","0,27","0,49",,,,,,,"1,35","5,79","6,71","4,69",,,,,,
seq0,no_checks,FINAL,,,"0,16","0,27","0,49",,,,,,,"1,35","5,79","6,71","4,69","33,78","429,68","1,77","2,27","418,00","802,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,07","0,64","0,81",,,,,,,"1,63","14,34","21,73","14,63",,,,,,
seq1,no_checks,1 / 100,,,"0,07","0,28","0,34",,,,,,,"1,63","3,93","5,09","2,93",,,,,,
seq1,no_checks,2 / 100,,,"0,07","0,28","0,27",,,,,,,"1,63","3,91","5,06","2,89",,,,,,
seq1,no_checks,3 / 100,,,"0,07","0,28","0,27",,,,,,,"1,63","3,91","5,06","2,89",,,,,,
seq1,no_checks,FINAL,,,"0,07","0,28","0,27",,,,,,,"1,63","3,91","5,06","2,89","72,72","239,86","1,77","2,59","390,00","730,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,06","0,72","1,41",,,,,,,"2,01","17,03","21,42","11,71",,,,,,
seq2,no_checks,1 / 100,,,"0,10","0,31","0,53",,,,,,,"2,01","15,08","16,09","3,12",,,,,,
seq2,no_checks,2 / 100,,,"0,10","0,31","0,48",,,,,,,"2,01","15,09","16,08","3,08",,,,,,
seq2,no_checks,3 / 100,,,"0,10","0,31","0,48",,,,,,,"2,01","15,09","16,09","3,08",,,,,,
seq2,no_checks,FINAL,,,"0,10","0,31","0,48",,,,,,,"2,01","15,09","16,09","3,08","11,40","749,12","1,77","3,05","384,00","692,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,01","38,81","0,13",,,,,,,"1,94","47,51","196,71","43,84",,,,,,
seq3,no_checks,1 / 100,,,"0,09","0,25","0,23",,,,,,,"1,94","146,29","150,73","3,94",,,,,,
seq3,no_checks,2 / 100,,,"0,09","0,29","0,35",,,,,,,"1,94","132,50","136,60","7,14",,,,,,
seq3,no_checks,3 / 100,,,"0,11","0,28","0,28",,,,,,,"1,94","131,63","135,39","6,36",,,,,,
seq3,no_checks,4 / 100,,,"0,10","0,26","0,26",,,,,,,"1,94","131,37","134,83","3,93",,,,,,
seq3,no_checks,5 / 100,,,"0,09","0,26","0,25",,,,,,,"1,94","130,86","134,22","3,67",,,,,,
seq3,no_checks,6 / 100,,,"0,09","0,26","0,29",,,,,,,"1,94","130,51","133,82","3,44",,,,,,
seq3,no_checks,7 / 100,,,"0,09","0,26","0,25",,,,,,,"1,94","130,08","133,35","3,41",,,,,,
seq3,no_checks,8 / 100,,,"0,09","0,26","0,30",,,,,,,"1,94","129,68","132,92","3,19",,,,,,
seq3,no_checks,9 / 100,,,"0,09","0,26","0,26",,,,,,,"1,94","129,14","132,33","3,28",,,,,,
seq3,no_checks,10 / 100,,,"0,11","0,25","0,37",,,,,,,"1,94","128,42","131,54","2,34",,,,,,
seq3,no_checks,11 / 100,,,"0,11","0,26","0,52",,,,,,,"1,94","123,72","126,71","2,58",,,,,,
seq3,no_checks,12 / 100,,,"0,20","0,26","4,35",,,,,,,"1,94","92,68","94,86","1,90",,,,,,
seq3,no_checks,13 / 100,,,"0,16","0,25","2,04",,,,,,,"1,94","55,17","56,65","1,46",,,,,,
seq3,no_checks,14 / 100,,,"0,11","0,26","1,65",,,,,,,"1,94","52,64","53,97","1,18",,,,,,
seq3,no_checks,15 / 100,,,"0,11","0,26","1,44",,,,,,,"1,94","52,52","53,85","1,31",,,,,,
seq3,no_checks,16 / 100,,,"0,10","0,26","1,34",,,,,,,"1,94","52,38","53,72","1,41",,,,,,
seq3,no_checks,17 / 100,,,"0,10","0,26","1,20",,,,,,,"1,94","52,06","53,38","1,49",,,,,,
seq3,no_checks,18 / 100,,,"0,10","0,26","1,18",,,,,,,"1,94","51,94","53,25","1,54",,,,,,
seq3,no_checks,19 / 100,,,"0,10","0,26","1,16",,,,,,,"1,94","51,82","53,13","1,58",,,,,,
seq3,no_checks,20 / 100,,,"0,09","0,26","1,09",,,,,,,"1,94","51,51","52,80","1,62",,,,,,
seq3,no_checks,21 / 100,,,"0,10","0,26","1,03",,,,,,,"1,94","51,24","52,52","1,65",,,,,,
seq3,no_checks,22 / 100,,,"0,10","0,26","1,02",,,,,,,"1,94","50,89","52,14","1,55",,,,,,
seq3,no_checks,23 / 100,,,"0,09","0,26","0,94",,,,,,,"1,94","50,61","51,88","1,69",,,,,,
seq3,no_checks,24 / 100,,,"0,09","0,26","0,93",,,,,,,"1,94","50,57","51,84","1,73",,,,,,
seq3,no_checks,25 / 100,,,"0,09","0,26","0,86",,,,,,,"1,94","50,43","51,71","1,77",,,,,,
seq3,no_checks,26 / 100,,,"0,09","0,26","0,83",,,,,,,"1,94","50,36","51,63","1,77",,,,,,
seq3,no_checks,27 / 100,,,"0,08","0,26","0,81",,,,,,,"1,94","50,19","51,44","1,77",,,,,,
seq3,no_checks,28 / 100,,,"0,08","0,26","0,79",,,,,,,"1,94","50,09","51,33","1,76",,,,,,
seq3,no_checks,29 / 100,,,"0,08","0,26","0,79",,,,,,,"1,94","50,04","51,27","1,76",,,,,,
seq3,no_checks,30 / 100,,,"0,08","0,26","0,79",,,,,,,"1,94","49,96","51,19","1,76",,,,,,
seq3,no_checks,31 / 100,,,"0,09","0,26","0,78",,,,,,,"1,94","49,78","51,00","1,76",,,,,,
seq3,no_checks,32 / 100,,,"0,09","0,26","0,79",,,,,,,"1,94","49,73","50,94","1,77",,,,,,
seq3,no_checks,33 / 100,,,"0,09","0,26","0,78",,,,,,,"1,94","49,51","50,71","1,77",,,,,,
seq3,no_checks,34 / 100,,,"0,09","0,26","0,78",,,,,,,"1,94","49,46","50,66","1,77",,,,,,
seq3,no_checks,35 / 100,,,"0,09","0,26","0,79",,,,,,,"1,94","49,42","50,62","1,77",,,,,,
seq3,no_checks,36 / 100,,,"0,09","0,26","0,78",,,,,,,"1,94","49,30","50,50","1,78",,,,,,
seq3,no_checks,37 / 100,,,"0,09","0,26","0,76",,,,,,,"1,94","49,26","50,45","1,78",,,,,,
seq3,no_checks,38 / 100,,,"0,09","0,26","0,76",,,,,,,"1,94","49,21","50,41","1,78",,,,,,
seq3,no_checks,39 / 100,,,"0,09","0,26","0,78",,,,,,,"1,94","49,11","50,30","1,79",,,,,,
seq3,no_checks,40 / 100,,,"0,09","0,26","0,75",,,,,,,"1,94","48,98","50,17","1,82",,,,,,
seq3,no_checks,41 / 100,,,"0,09","0,26","0,79",,,,,,,"1,94","48,73","49,90","1,71",,,,,,
seq3,no_checks,42 / 100,,,"0,09","0,26","0,81",,,,,,,"1,94","48,59","49,76","1,69",,,,,,
seq3,no_checks,43 / 100,,,"0,09","0,25","0,89",,,,,,,"1,94","48,33","49,48","1,54",,,,,,
seq3,no_checks,44 / 100,,,"0,10","0,25","1,50",,,,,,,"1,94","28,17","28,84","0,76",,,,,,
seq3,no_checks,45 / 100,,,"0,10","0,25","1,18",,,,,,,"1,94","28,15","28,82","0,82",,,,,,
seq3,no_checks,46 / 100,,,"0,09","0,25","1,08",,,,,,,"1,94","28,11","28,78","0,86",,,,,,
seq3,no_checks,47 / 100,,,"0,09","0,25","1,04",,,,,,,"1,94","28,09","28,77","0,88",,,,,,
seq3,no_checks,48 / 100,,,"0,09","0,25","1,00",,,,,,,"1,94","28,08","28,75","0,90",,,,,,
seq3,no_checks,49 / 100,,,"0,09","0,25","0,95",,,,,,,"1,94","28,03","28,72","0,96",,,,,,
seq3,no_checks,50 / 100,,,"0,08","0,25","0,91",,,,,,,"1,94","28,02","28,71","1,00",,,,,,
seq3,no_checks,51 / 100,,,"0,08","0,25","0,93",,,,,,,"1,94","28,00","28,69","0,99",,,,,,
seq3,no_checks,52 / 100,,,"0,08","0,25","0,92",,,,,,,"1,94","27,97","28,66","0,99",,,,,,
seq3,no_checks,53 / 100,,,"0,08","0,25","0,92",,,,,,,"1,94","27,96","28,65","0,99",,,,,,
seq3,no_checks,54 / 100,,,"0,08","0,26","0,76",,,,,,,"1,94","27,58","28,26","1,08",,,,,,
seq3,no_checks,55 / 100,,,"0,08","0,26","0,73",,,,,,,"1,94","27,56","28,25","1,11",,,,,,
seq3,no_checks,56 / 100,,,"0,07","0,26","0,71",,,,,,,"1,94","27,53","28,22","1,12",,,,,,
seq3,no_checks,57 / 100,,,"0,07","0,26","0,68",,,,,,,"1,94","27,47","28,17","1,14",,,,,,
seq3,no_checks,58 / 100,,,"0,07","0,26","0,68",,,,,,,"1,94","27,43","28,13","1,17",,,,,,
seq3,no_checks,59 / 100,,,"0,07","0,26","0,67",,,,,,,"1,94","27,42","28,12","1,18",,,,,,
seq3,no_checks,FINAL,,,"0,07","0,26","0,67",,,,,,,"1,94","27,42","28,12","1,18","42,29","1413,12","1,77","2,71","338,00","674,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,07","0,63","2,12",,,,,,,"2,52","22,43","25,43","12,16",,,,,,
seq4,no_checks,1 / 100,,,"0,13","0,16","1,10",,,,,,,"2,52","23,13","24,16","2,96",,,,,,
seq4,no_checks,2 / 100,,,"0,11","0,15","1,01",,,,,,,"2,52","23,45","24,35","2,40",,,,,,
seq4,no_checks,3 / 100,,,"0,11","0,15","0,97",,,,,,,"2,52","23,46","24,35","2,38",,,,,,
seq4,no_checks,4 / 100,,,"0,11","0,15","0,97",,,,,,,"2,52","23,46","24,35","2,38",,,,,,
seq4,no_checks,FINAL,,,"0,11","0,15","0,97",,,,,,,"2,52","23,46","24,35","2,38","-4,57","929,68","1,77","3,46","293,00","580,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,03","0,15","1,22",,,,,,,"3,93","34,19","35,43","5,28",,,,,,
seq5,no_checks,1 / 100,,,"0,09","0,09","1,66",,,,,,,"3,93","36,14","36,72","0,00",,,,,,
seq5,no_checks,2 / 100,,,"0,09","0,09","1,66",,,,,,,"3,93","36,14","36,72","0,00",,,,,,
seq5,no_checks,FINAL,,,"0,09","0,09","1,66",,,,,,,"3,93","36,14","36,72","0,00","-5,70","918,85","1,77","3,31","121,00","232,00"
