TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00",,,,,,,"78,40","511,59","519,40",,,,,,
seq0,checks,1 / 12,,,"0,04",,,,,,,"78,40","498,58","508,19",,,,,,
seq0,checks,2 / 12,,,"0,04",,,,,,,"78,40","498,58","508,19",,,,,,
seq0,checks,FINAL,,,"0,04",,,,,,,"78,40","498,58","508,19","2,54","635,97","53,02","2,09","164,00","84,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00",,,,,,,"26,76","713,61","730,39",,,,,,
seq0,no_checks,1 / 12,,,"0,01",,,,,,,"26,76","713,61","730,39",,,,,,
seq0,no_checks,2 / 12,,,"0,05",,,,,,,"26,76","713,26","730,03",,,,,,
seq0,no_checks,3 / 12,,,"0,07",,,,,,,"26,76","713,24","730,01",,,,,,
seq0,no_checks,4 / 12,,,"0,06",,,,,,,"26,76","713,14","729,92",,,,,,
seq0,no_checks,5 / 12,,,"0,06",,,,,,,"26,76","713,12","729,89",,,,,,
seq0,no_checks,6 / 12,,,"0,06",,,,,,,"26,76","713,05","729,84",,,,,,
seq0,no_checks,7 / 12,,,"0,07",,,,,,,"26,76","712,31","729,12",,,,,,
seq0,no_checks,8 / 12,,,"0,07",,,,,,,"26,76","712,30","729,12",,,,,,
seq0,no_checks,9 / 12,,,"0,07",,,,,,,"26,76","712,26","729,08",,,,,,
seq0,no_checks,10 / 12,,,"0,07",,,,,,,"26,76","712,25","729,07",,,,,,
seq0,no_checks,11 / 12,,,"0,08",,,,,,,"26,76","712,23","729,05",,,,,,
seq0,no_checks,FINAL,,,"0,67",,,,,,,"26,76","706,49","723,73","1,00","2640,14","17,68","2,27","416,00","772,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00",,,,,,,"26,76","734,20","750,84",,,,,,
seq1,no_checks,1 / 12,,,"0,01",,,,,,,"26,76","734,15","750,76",,,,,,
seq1,no_checks,2 / 12,,,"0,14",,,,,,,"26,76","733,75","750,32",,,,,,
seq1,no_checks,3 / 12,,,"0,39",,,,,,,"26,76","726,50","743,38",,,,,,
seq1,no_checks,4 / 12,,,"1,20",,,,,,,"26,76","703,32","722,85",,,,,,
seq1,no_checks,5 / 12,,,"1,46",,,,,,,"26,76","699,23","720,12",,,,,,
seq1,no_checks,6 / 12,,,"1,47",,,,,,,"26,76","698,73","719,82",,,,,,
seq1,no_checks,7 / 12,,,"1,31",,,,,,,"26,76","698,82","719,89",,,,,,
seq1,no_checks,8 / 12,,,"1,32",,,,,,,"26,76","699,03","720,08",,,,,,
seq1,no_checks,9 / 12,,,"1,89",,,,,,,"26,76","699,18","720,21",,,,,,
seq1,no_checks,10 / 12,,,"1,89",,,,,,,"26,76","699,41","720,45",,,,,,
seq1,no_checks,11 / 12,,,"2,20",,,,,,,"26,76","699,52","720,55",,,,,,
seq1,no_checks,FINAL,,,"2,30",,,,,,,"26,76","699,60","720,63","4,71","2614,84","17,68","2,59","386,00","666,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,00",,,,,,,"26,76","780,95","788,73",,,,,,
seq2,no_checks,1 / 12,,,"0,06",,,,,,,"26,76","778,76","786,53",,,,,,
seq2,no_checks,2 / 12,,,"0,11",,,,,,,"26,76","777,48","785,30",,,,,,
seq2,no_checks,3 / 12,,,"0,11",,,,,,,"26,76","777,47","785,29",,,,,,
seq2,no_checks,4 / 12,,,"0,11",,,,,,,"26,76","777,47","785,29",,,,,,
seq2,no_checks,5 / 12,,,"0,11",,,,,,,"26,76","777,47","785,29",,,,,,
seq2,no_checks,6 / 12,,,"0,13",,,,,,,"26,76","777,46","785,29",,,,,,
seq2,no_checks,7 / 12,,,"0,15",,,,,,,"26,76","777,46","785,28",,,,,,
seq2,no_checks,8 / 12,,,"0,14",,,,,,,"26,76","777,06","784,90",,,,,,
seq2,no_checks,9 / 12,,,"0,14",,,,,,,"26,76","776,92","784,77",,,,,,
seq2,no_checks,10 / 12,,,"1,22",,,,,,,"26,76","761,89","770,72",,,,,,
seq2,no_checks,11 / 12,,,"1,23",,,,,,,"26,76","761,88","770,71",,,,,,
seq2,no_checks,FINAL,,,"1,31",,,,,,,"26,76","761,87","770,70","2,44","2847,57","17,68","3,03","386,00","666,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,
