parallax,Av. error (mm),Info
"2,31","0,35",seq0_checks
"2,31","1,35",seq0_checks
"2,53","0,35",seq0_checks
"2,53","1,37",seq0_checks
"2,53","0,35",seq0_checks
"2,53","1,34",seq0_checks
"2,29","0,34",seq0_checks
"2,29","1,22",seq0_checks
"2,50","0,36",seq0_checks
"2,50","1,83",seq0_checks
"2,52","0,36",seq0_checks
"2,52","1,83",seq0_checks
"2,20","0,35",seq0_checks
"2,20","1,35",seq0_checks
"2,30","0,35",seq0_checks
"2,30","1,35",seq0_checks
"2,27","0,24",seq0_checks
"2,27","0,75",seq0_checks
"2,54","0,36",seq0_checks
"2,54","1,75",seq0_checks
"2,20","0,24",seq0_checks
"2,20","1,28",seq0_checks
"2,38","0,24",seq0_checks
"2,38","0,77",seq0_checks
"2,30","0,34",seq0_checks
"2,30","1,31",seq0_checks
"2,51","0,35",seq0_checks
"2,51","1,36",seq0_checks
"2,34","0,23",seq0_checks
"2,34","1,25",seq0_checks
"2,62","0,36",seq0_checks
"2,62","1,75",seq0_checks
"2,62","0,36",seq0_checks
"2,62","1,75",seq0_checks
"2,67","0,35",seq0_checks
"2,67","1,77",seq0_checks
"2,46","0,35",seq0_checks
"2,46","1,35",seq0_checks
"2,09","0,33",seq0_checks
"2,09","1,21",seq0_checks
"2,40","0,33",seq0_checks
"2,40","1,25",seq0_checks
"2,61","0,33",seq0_checks
"2,61","1,25",seq0_checks
"2,10","0,33",seq0_checks
"2,10","1,26",seq0_checks
"2,26","0,34",seq0_checks
"2,26","1,30",seq0_checks
"2,27","0,34",seq0_checks
"2,27","1,31",seq0_checks
"2,19","0,34",seq0_checks
"2,19","1,31",seq0_checks
"2,55","0,34",seq0_checks
"2,55","1,72",seq0_checks
"2,49","0,34",seq0_checks
"2,49","1,72",seq0_checks
"2,55","0,36",seq0_checks
"2,55","1,75",seq0_checks
"2,45","0,35",seq0_checks
"2,45","1,33",seq0_checks
"2,39","0,35",seq0_checks
"2,39","1,34",seq0_checks
"2,59","0,26",seq0_checks
"2,59","1,35",seq0_checks
"2,42","0,33",seq0_checks
"2,42","1,28",seq0_checks
"2,23","0,23",seq0_checks
"2,23","1,22",seq0_checks
"2,40","0,23",seq0_checks
"2,40","1,25",seq0_checks
"2,21","0,33",seq0_checks
"2,21","1,23",seq0_checks
"2,53","0,25",seq0_checks
"2,53","1,31",seq0_checks
"2,57","0,46",seq0_checks
"2,57","2,24",seq0_checks
"2,37","0,35",seq0_checks
"2,37","1,33",seq0_checks
"2,29","0,35",seq0_checks
"2,29","1,35",seq0_checks
"2,47","0,36",seq0_checks
"2,47","1,83",seq0_checks
"2,47","0,36",seq0_checks
"2,47","1,83",seq0_checks
"2,56","0,35",seq0_checks
"2,56","1,76",seq0_checks
"2,69","0,36",seq0_checks
"2,69","1,38",seq0_checks
"0,87","6,16",seq0_no_checks
"0,87","5,30",seq0_no_checks
"1,30","12,85",seq0_no_checks
"1,30","12,14",seq0_no_checks
"1,53","6,10",seq0_no_checks
"1,53","7,90",seq0_no_checks
"0,80","7,23",seq0_no_checks
"0,80","7,17",seq0_no_checks
"1,03","0,32",seq0_no_checks
"1,03","0,42",seq0_no_checks
"1,62","9,95",seq0_no_checks
"1,62","10,15",seq0_no_checks
"2,14","2,86",seq0_no_checks
"2,14","2,18",seq0_no_checks
"1,21","7,24",seq0_no_checks
"1,21","6,48",seq0_no_checks
"1,21","6,97",seq0_no_checks
"1,21","6,93",seq0_no_checks
"1,53","2,10",seq0_no_checks
"1,53","1,46",seq0_no_checks
"1,52","7,34",seq0_no_checks
"1,52","7,15",seq0_no_checks
"1,51","3,33",seq0_no_checks
"1,51","1,96",seq0_no_checks
"1,37","5,81",seq0_no_checks
"1,37","7,52",seq0_no_checks
"2,54","6,84",seq0_no_checks
"2,54","6,14",seq0_no_checks
"2,33","5,98",seq0_no_checks
"2,33","6,48",seq0_no_checks
"0,94","3,89",seq0_no_checks
"0,94","1,25",seq0_no_checks
"1,10","5,24",seq0_no_checks
"1,10","6,92",seq0_no_checks
"1,31","5,81",seq0_no_checks
"1,31","8,24",seq0_no_checks
"2,38","4,08",seq0_no_checks
"2,38","3,40",seq0_no_checks
"0,76","16,53",seq0_no_checks
"0,76","15,29",seq0_no_checks
"0,78","12,47",seq0_no_checks
"0,78","11,61",seq0_no_checks
"2,58","4,23",seq0_no_checks
"2,58","4,22",seq0_no_checks
"2,03","5,21",seq0_no_checks
"2,03","4,20",seq0_no_checks
"1,36","8,76",seq0_no_checks
"1,36","8,66",seq0_no_checks
"0,89","6,84",seq0_no_checks
"0,89","5,99",seq0_no_checks
"0,92","7,36",seq0_no_checks
"0,92","7,26",seq0_no_checks
"0,77","16,30",seq0_no_checks
"0,77","16,89",seq0_no_checks
"2,58","5,07",seq0_no_checks
"2,58","5,37",seq0_no_checks
"2,64","4,34",seq0_no_checks
"2,64","4,45",seq0_no_checks
"1,29","7,62",seq0_no_checks
"1,29","6,84",seq0_no_checks
"1,01","11,88",seq0_no_checks
"1,01","11,49",seq0_no_checks
"1,22","5,25",seq0_no_checks
"1,22","4,54",seq0_no_checks
"1,16","11,27",seq0_no_checks
"1,16","11,82",seq0_no_checks
"0,94","2,12",seq0_no_checks
"0,94","1,76",seq0_no_checks
"0,93","2,31",seq0_no_checks
"0,93","1,86",seq0_no_checks
"1,15","9,22",seq0_no_checks
"1,15","6,88",seq0_no_checks
"1,15","9,55",seq0_no_checks
"1,15","7,22",seq0_no_checks
"2,21","5,48",seq0_no_checks
"2,21","6,05",seq0_no_checks
"0,84","9,50",seq0_no_checks
"0,84","8,64",seq0_no_checks
"1,54","7,76",seq0_no_checks
"1,54","9,76",seq0_no_checks
"1,66","21,90",seq0_no_checks
"1,66","21,56",seq0_no_checks
"0,78","10,76",seq0_no_checks
"0,78","11,69",seq0_no_checks
"0,76","4,51",seq0_no_checks
"0,76","3,10",seq0_no_checks
"0,91","9,85",seq0_no_checks
"0,91","8,79",seq0_no_checks
"1,03","13,01",seq0_no_checks
"1,03","12,49",seq0_no_checks
"0,81","9,26",seq0_no_checks
"0,81","9,66",seq0_no_checks
"0,80","9,74",seq0_no_checks
"0,80","10,14",seq0_no_checks
