TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,85","11,74","13,74","11,79",,,,,,
seq0,checks,1 / 30,,,"0,03","0,00","0,08",,,,,,,"1,85","0,86","1,01","0,03",,,,,,
seq0,checks,2 / 30,,,"0,03","0,00","0,08",,,,,,,"1,85","0,86","1,01","0,03",,,,,,
seq0,checks,FINAL,,,"0,03","0,00","0,08",,,,,,,"1,85","0,86","1,01","0,03","92,66","46,57","5,30","2,09","186,00","90,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,31","8,91","11,76","9,96",,,,,,
seq0,no_checks,1 / 30,,,"0,01","0,00","0,04",,,,,,,"1,31","8,87","11,73","9,91",,,,,,
seq0,no_checks,2 / 30,,,"0,01","0,00","0,04",,,,,,,"1,31","8,86","11,72","9,90",,,,,,
seq0,no_checks,3 / 30,,,"0,01","0,00","0,04",,,,,,,"1,31","8,86","11,72","9,90",,,,,,
seq0,no_checks,FINAL,,,"0,01","0,00","0,04",,,,,,,"1,31","8,86","11,72","9,90","0,55","675,73","1,77","2,27","435,00","834,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,60","14,18","21,25","14,67",,,,,,
seq1,no_checks,1 / 12,,,"0,01","0,00","0,03",,,,,,,"1,60","14,03","21,16","14,59",,,,,,
seq1,no_checks,2 / 12,,,"0,01","0,00","0,03",,,,,,,"1,60","14,03","21,15","14,59",,,,,,
seq1,no_checks,3 / 12,,,"0,01","0,00","0,05",,,,,,,"1,60","13,71","20,41","14,17",,,,,,
seq1,no_checks,4 / 12,,,"0,01","0,00","0,04",,,,,,,"1,60","13,73","20,43","14,18",,,,,,
seq1,no_checks,5 / 12,,,"0,01","0,00","0,04",,,,,,,"1,60","13,72","20,42","14,17",,,,,,
