FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,04","0,00",,,,,,,"1,84","10,79","12,24","10,85",,,,,,
seq0,checks,1 / 100,,,"0,01","0,04","0,02",,,,,,,"1,84","2,11","2,40","0,00",,,,,,
seq0,checks,2 / 100,,,"0,01","0,04","0,02",,,,,,,"1,84","2,11","2,40","0,00",,,,,,
seq0,checks,FINAL,,,"0,01","0,04","0,02",,,,,,,"1,84","2,11","2,40","0,00","80,40","115,00","5,30","2,09","163,00","86,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,05","0,34","0,87",,,,,,,"1,34","8,76","11,73","8,04",,,,,,
seq0,no_checks,1 / 100,,,"0,18","0,25","0,58",,,,,,,"1,34","5,57","6,44","4,43",,,,,,
seq0,no_checks,2 / 100,,,"0,17","0,25","0,54",,,,,,,"1,34","5,55","6,42","4,42",,,,,,
seq0,no_checks,3 / 100,,,"0,18","0,25","0,55",,,,,,,"1,34","5,54","6,41","4,41",,,,,,
seq0,no_checks,4 / 100,,,"0,18","0,25","0,55",,,,,,,"1,34","5,54","6,40","4,40",,,,,,
seq0,no_checks,FINAL,,,"0,18","0,25","0,55",,,,,,,"1,34","5,54","6,40","4,40","36,79","411,91","1,77","2,27","419,00","804,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,06","0,60","0,93",,,,,,,"1,63","14,34","21,76","14,66",,,,,,
seq1,no_checks,1 / 100,,,"0,11","0,22","0,58",,,,,,,"1,63","4,75","6,25","4,10",,,,,,
seq1,no_checks,2 / 100,,,"0,11","0,21","0,61",,,,,,,"1,63","4,74","6,22","4,09",,,,,,
seq1,no_checks,3 / 100,,,"0,10","0,21","0,59",,,,,,,"1,63","4,73","6,21","4,08",,,,,,
seq1,no_checks,4 / 100,,,"0,11","0,21","0,59",,,,,,,"1,63","4,71","6,19","4,05",,,,,,
seq1,no_checks,5 / 100,,,"0,10","0,21","0,54",,,,,,,"1,63","4,61","6,05","3,93",,,,,,
seq1,no_checks,6 / 100,,,"0,10","0,21","0,51",,,,,,,"1,63","4,50","5,92","3,80",,,,,,
seq1,no_checks,7 / 100,,,"0,09","0,21","0,51",,,,,,,"1,63","4,48","5,90","3,78",,,,,,
seq1,no_checks,8 / 100,,,"0,09","0,21","0,51",,,,,,,"1,63","4,47","5,88","3,77",,,,,,
seq1,no_checks,FINAL,,,"0,09","0,21","0,51",,,,,,,"1,63","4,47","5,88","3,77","68,82","274,53","1,77","2,59","388,00","726,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,07","0,69","1,37",,,,,,,"2,01","16,96","21,35","11,72",,,,,,
seq2,no_checks,1 / 100,,,"0,11","0,25","0,44",,,,,,,"2,01","15,16","15,97","2,46",,,,,,
seq2,no_checks,2 / 100,,,"0,11","0,25","0,40",,,,,,,"2,01","15,16","15,98","2,45",,,,,,
seq2,no_checks,3 / 100,,,"0,11","0,25","0,40",,,,,,,"2,01","15,16","15,98","2,45",,,,,,
seq2,no_checks,FINAL,,,"0,11","0,25","0,40",,,,,,,"2,01","15,16","15,98","2,45","10,58","754,69","1,77","3,02","381,00","686,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,01","38,15","0,14",,,,,,,"1,94","46,99","195,27","43,25",,,,,,
seq3,no_checks,1 / 100,,,"0,05","0,27","0,09",,,,,,,"1,94","143,65","147,60","2,02",,,,,,
seq3,no_checks,2 / 100,,,"0,17","0,26","2,15",,,,,,,"1,94","18,94","19,47","0,50",,,,,,
seq3,no_checks,3 / 100,,,"0,23","0,26","1,72",,,,,,,"1,94","18,95","19,49","0,61",,,,,,
seq3,no_checks,4 / 100,,,"0,23","0,26","1,79",,,,,,,"1,94","18,95","19,48","0,60",,,,,,
seq3,no_checks,5 / 100,,,"0,23","0,26","1,78",,,,,,,"1,94","18,95","19,48","0,61",,,,,,
seq3,no_checks,FINAL,,,"0,23","0,26","1,78",,,,,,,"1,94","18,95","19,48","0,61","59,66","976,49","1,77","2,72","343,00","684,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,10","0,63","2,17",,,,,,,"2,52","22,49","25,49","12,06",,,,,,
seq4,no_checks,1 / 100,,,"0,10","0,16","0,67",,,,,,,"2,52","23,68","24,57","2,36",,,,,,
seq4,no_checks,2 / 100,,,"0,10","0,16","0,63",,,,,,,"2,52","23,73","24,60","2,27",,,,,,
seq4,no_checks,3 / 100,,,"0,10","0,16","0,56",,,,,,,"2,52","23,73","24,60","2,27",,,,,,
seq4,no_checks,FINAL,,,"0,10","0,16","0,56",,,,,,,"2,52","23,73","24,60","2,27","-5,53","942,16","1,77","3,42","293,00","580,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,04","0,13","1,45",,,,,,,"3,93","34,19","35,43","5,28",,,,,,
seq5,no_checks,1 / 100,,,"0,00","0,09","0,67",,,,,,,"3,93","36,14","36,72","0,00",,,,,,
seq5,no_checks,2 / 100,,,"0,00","0,09","0,67",,,,,,,"3,93","36,14","36,72","0,00",,,,,,
seq5,no_checks,FINAL,,,"0,00","0,09","0,67",,,,,,,"3,93","36,14","36,72","0,00","-5,70","918,85","1,77","3,31","121,00","232,00"
