parallax,Av. error (mm),Info,Higher Info
"0,18","200,39",seq0_checks,105-2-115_TwoPoints
"0,18","202,19",seq0_checks,105-2-115_TwoPoints
"0,18","195,96",seq0_checks,105-2-115_TwoPoints
"0,18","197,75",seq0_checks,105-2-115_TwoPoints
"0,18","195,50",seq0_checks,105-2-115_TwoPoints
"0,18","197,28",seq0_checks,105-2-115_TwoPoints
"0,64","211,82",seq0_checks,105-2-115_TwoPoints
"0,64","215,65",seq0_checks,105-2-115_TwoPoints
"0,42","181,21",seq0_checks,105-2-115_TwoPoints
"0,42","184,14",seq0_checks,105-2-115_TwoPoints
"0,53","191,98",seq0_checks,105-2-115_TwoPoints
"0,53","187,27",seq0_checks,105-2-115_TwoPoints
"0,46","202,94",seq0_checks,105-2-115_TwoPoints
"0,46","205,92",seq0_checks,105-2-115_TwoPoints
"0,17","195,77",seq0_checks,105-2-115_TwoPoints
"0,17","197,75",seq0_checks,105-2-115_TwoPoints
"0,20","202,29",seq0_checks,105-2-115_TwoPoints
"0,20","204,79",seq0_checks,105-2-115_TwoPoints
"0,40","202,02",seq0_checks,105-2-115_TwoPoints
"0,40","204,68",seq0_checks,105-2-115_TwoPoints
"0,34","206,46",seq0_checks,105-2-115_TwoPoints
"0,34","209,51",seq0_checks,105-2-115_TwoPoints
"0,47","177,83",seq0_checks,105-2-115_TwoPoints
"0,47","180,75",seq0_checks,105-2-115_TwoPoints
"0,39","260,62",seq0_checks,105-2-115_TwoPoints
"0,39","251,86",seq0_checks,105-2-115_TwoPoints
"0,07","205,99",seq0_checks,105-2-115_TwoPoints
"0,07","199,37",seq0_checks,105-2-115_TwoPoints
"0,08","194,54",seq0_checks,105-2-115_TwoPoints
"0,08","196,89",seq0_checks,105-2-115_TwoPoints
"0,23","207,64",seq0_checks,105-2-115_TwoPoints
"0,23","201,60",seq0_checks,105-2-115_TwoPoints
"0,26","207,79",seq0_checks,105-2-115_TwoPoints
"0,26","201,87",seq0_checks,105-2-115_TwoPoints
"0,20","201,59",seq0_checks,105-2-115_TwoPoints
"0,20","204,09",seq0_checks,105-2-115_TwoPoints
"0,22","202,19",seq0_checks,105-2-115_TwoPoints
