parallax,Av. error (mm),Info,Higher Info
"0,18","199,51",seq0_checks,105-2-115_FarPoints
"0,18","203,07",seq0_checks,105-2-115_FarPoints
"0,42","180,41",seq0_checks,105-2-115_FarPoints
"0,42","184,94",seq0_checks,105-2-115_FarPoints
"0,64","210,89",seq0_checks,105-2-115_FarPoints
"0,64","216,58",seq0_checks,105-2-115_FarPoints
"0,18","195,09",seq0_checks,105-2-115_FarPoints
"0,18","198,60",seq0_checks,105-2-115_FarPoints
"0,18","194,64",seq0_checks,105-2-115_FarPoints
"0,18","198,14",seq0_checks,105-2-115_FarPoints
"0,53","191,14",seq0_checks,105-2-115_FarPoints
"0,53","188,08",seq0_checks,105-2-115_FarPoints
"0,08","193,70",seq0_checks,105-2-115_FarPoints
"0,08","197,76",seq0_checks,105-2-115_FarPoints
"0,34","205,55",seq0_checks,105-2-115_FarPoints
"0,34","210,42",seq0_checks,105-2-115_FarPoints
"0,40","201,13",seq0_checks,105-2-115_FarPoints
"0,40","205,56",seq0_checks,105-2-115_FarPoints
"0,47","177,04",seq0_checks,105-2-115_FarPoints
"0,47","181,53",seq0_checks,105-2-115_FarPoints
"0,46","202,05",seq0_checks,105-2-115_FarPoints
"0,46","206,81",seq0_checks,105-2-115_FarPoints
"0,41","186,97",seq0_checks,105-2-115_FarPoints
"0,41","183,99",seq0_checks,105-2-115_FarPoints
"0,49","186,72",seq0_checks,105-2-115_FarPoints
"0,49","183,60",seq0_checks,105-2-115_FarPoints
"0,07","205,10",seq0_checks,105-2-115_FarPoints
"0,07","200,25",seq0_checks,105-2-115_FarPoints
"0,17","194,92",seq0_checks,105-2-115_FarPoints
"0,17","198,62",seq0_checks,105-2-115_FarPoints
"0,20","201,41",seq0_checks,105-2-115_FarPoints
"0,20","205,70",seq0_checks,105-2-115_FarPoints
"0,39","259,48",seq0_checks,105-2-115_FarPoints
"0,39","252,96",seq0_checks,105-2-115_FarPoints
"0,23","206,72",seq0_checks,105-2-115_FarPoints
"0,23","202,45",seq0_checks,105-2-115_FarPoints
"0,26","206,88",seq0_checks,105-2-115_FarPoints
"0,26","202,75",seq0_checks,105-2-115_FarPoints
"0,20","200,72",seq0_checks,105-2-115_FarPoints
"0,20","204,99",seq0_checks,105-2-115_FarPoints
"0,22","201,32",seq0_checks,105-2-115_FarPoints
"0,22","205,52",seq0_checks,105-2-115_FarPoints
"0,17","199,48",seq0_checks,105-2-115_FarPoints
"0,17","203,40",seq0_checks,105-2-115_FarPoints
"0,33","205,00",seq0_checks,105-2-115_FarPoints
"0,33","200,94",seq0_checks,105-2-115_FarPoints
"0,50","186,40",seq0_checks,105-2-115_FarPoints
"0,50","190,91",seq0_checks,105-2-115_FarPoints
"0,12","194,69",seq0_checks,105-2-115_FarPoints
"0,12","198,37",seq0_checks,105-2-115_FarPoints
"0,22","200,25",seq0_checks,105-2-115_FarPoints
"0,22","203,66",seq0_checks,105-2-115_FarPoints
"0,55","195,52",seq0_checks,105-2-115_FarPoints
"0,55","193,47",seq0_checks,105-2-115_FarPoints
"0,55","195,68",seq0_checks,105-2-115_FarPoints
"0,55","193,59",seq0_checks,105-2-115_FarPoints
"0,56","180,39",seq0_checks,105-2-115_FarPoints
