9.336197903167020584e-02,8.544146660185283348e-01,2.400966354718088169e-01
4.776656660704733381e-01,5.974209288750562674e-01,4.582746112139864936e-01
4.590013086298677658e-01,9.547817164422943703e-01,9.436587594393602840e-01
5.560201105357942541e-02,8.559387063074448410e-01,7.471899340391918720e-01
4.638864292069591055e-01,7.090821041165623617e-01,4.627297599264029726e-01
1.759441052327244126e-01,2.262916225712552354e-01,2.478322480041171838e-01
6.546731639266132330e-01,7.153944656180393213e-01,5.874549746840992404e-01
5.948268038214489239e-01,7.977099885207359353e-01,3.040366837450619864e-01
7.292992845645943634e-01,6.038272384974394669e-01,4.190790934232356824e-01
2.441434185701656379e-01,6.195390982471155050e-01,2.335055981013667292e-01
7.965404240074214215e-02,4.145175420433721003e-01,8.547399882700491558e-01
1.670162306896633142e-01,1.120624420686342493e-01,3.160146608230643972e-01
4.995251860359483098e-01,4.499450079778057887e-01,3.556097749049325074e-01
8.443872084259226307e-01,7.947428796493194447e-02,3.259338262021685972e-01
9.400266529998954068e-01,3.922579915303591180e-01,3.806494063816133755e-01
1.219533439787426898e-01,1.293293278598861562e-01,3.094222161276882765e-02
5.894158511503095887e-01,6.112367481218072829e-01,9.496115146371471027e-01
6.696995721853681305e-01,6.486141425410105743e-01,2.313797056324595758e-02
6.995861458074932315e-01,8.489133935027555200e-01,1.155678201379365388e-01
5.255945586257971813e-01,7.080106675622859225e-01,5.241618177958494718e-01
1.072585046812715159e-01,9.175176961014290811e-01,8.188366837538709753e-01
2.729816713723328681e-01,1.246533979347713705e-01,4.105650345258874401e-01
1.320462225622953678e-02,9.504752317943565565e-02,7.110713520422002887e-01
9.431924322272412509e-01,5.676836183544076153e-02,5.825465949214393424e-01
4.200396279468319172e-01,1.403936533292196032e-01,4.000478001072832468e-01
7.211479283401881490e-01,7.435493264159216409e-01,5.215146380638192580e-01
4.432093033926115533e-01,3.529983277216713899e-01,2.190803151138126514e-01
5.704721685630232964e-01,1.773442581412354446e-01,8.310743764811920897e-01
6.249706887963140112e-01,9.312490118199862055e-01,5.545609909106185009e-01
5.360384272974819675e-01,9.131068110258889758e-01,5.916871610225813427e-01
6.393062385322100249e-01,3.658891760227476198e-01,6.848849531789749090e-01
