Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_depth_1mm-InRays Initial (mm),ARAP_depth_1mm-InRays Final (mm),ARAP_depth_1mm-TwoPoints Initial (mm),ARAP_depth_1mm-TwoPoints Final (mm),ARAP_depth_1mm-FarPoints Initial (mm),ARAP_depth_1mm-FarPoints Final (mm),ARAP_depth_3mm-InRays Initial (mm),ARAP_depth_3mm-InRays Final (mm),ARAP_depth_3mm-TwoPoints Initial (mm),ARAP_depth_3mm-TwoPoints Final (mm),ARAP_depth_3mm-FarPoints Initial (mm),ARAP_depth_3mm-FarPoints Final (mm),ARAP_depth_8mm-InRays Initial (mm),ARAP_depth_8mm-InRays Final (mm),ARAP_depth_8mm-TwoPoints Initial (mm),ARAP_depth_8mm-TwoPoints Final (mm),ARAP_depth_8mm-FarPoints Initial (mm),ARAP_depth_8mm-FarPoints Final (mm)
"3,95",Planar,"2,5",0,"1,07","3,27","2,15","3,17","2,61","3,99","2,55","3,81","2,88","3,19","4,54","3,62","6,47","3,87","5,65","3,24","10,49","3,68"
"2,50",Planar,0,"2,5","1,07","0,82","1,42","1,02","2,09","0,93","2,56","1,67","2,31","0,88","4,24","1,21","6,50","3,76","5,37","1,01","10,42","14,08"
"4,73",Planar,"2,5","2,5","1,08","3,01","2,51","3,01","3,03","5,18","2,71","3,30","3,23","2,98","5,17","6,14","6,99","4,43","6,13","2,95","11,71","26,76"
"16,05",Planar,10,0,"1,07","18,76","8,06","17,82","8,23","140,17","2,54","20,00","8,28","19,16","9,22","36,97","6,46","100,15","9,68","15,66","13,59","155,73"
"10,00",Planar,0,10,"1,05","0,81","5,04","0,99","5,27","2,25","2,53","0,84","5,24","2,16","6,44","2,53","6,46","3,29","6,93","1,83","11,59","10,66"
"19,14",Planar,10,10,"1,05","59,53","9,60","16,36","9,68","110,62","2,54","122,97","9,77","15,47","10,48","88,69","6,50","98,78","10,89","16,75","14,56","108,85"
"3,24",Gradual,0,"2,5","1,07","1,34","1,84","1,28","2,43","1,28","2,55","1,57","2,63","1,34","4,46","2,64","6,49","5,28","5,49","1,62","10,54","24,22"
"5,36",Gradual,"2,5","2,5","1,06","4,02","2,79","3,59","3,23","4,07","2,58","4,10","3,38","3,48","5,14","11,12","6,60","8,46","5,94","3,59","11,19","9,89"
"10,53",Gradual,0,10,"1,04","2,23","5,36","2,50","5,67","1,78","2,53","2,16","5,76","1,95","6,90","2,85","6,49","10,25","7,64","2,25","11,94","11,52"
"19,45",Gradual,10,10,"1,05","113,88","9,76","16,02","9,83","114,69","2,56","129,32","9,96","16,75","10,58","89,81","6,56","52,98","11,19","17,27","14,57","75,04"
