Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_depth_1mm-InRays Initial (mm),ARAP_depth_1mm-InRays Final (mm),ARAP_depth_1mm-TwoPoints Initial (mm),ARAP_depth_1mm-TwoPoints Final (mm),ARAP_depth_1mm-FarPoints Initial (mm),ARAP_depth_1mm-FarPoints Final (mm),ARAP_depth_3mm-InRays Initial (mm),ARAP_depth_3mm-InRays Final (mm),ARAP_depth_3mm-TwoPoints Initial (mm),ARAP_depth_3mm-TwoPoints Final (mm),ARAP_depth_3mm-FarPoints Initial (mm),ARAP_depth_3mm-FarPoints Final (mm),ARAP_depth_8mm-InRays Initial (mm),ARAP_depth_8mm-InRays Final (mm),ARAP_depth_8mm-TwoPoints Initial (mm),ARAP_depth_8mm-TwoPoints Final (mm),ARAP_depth_8mm-FarPoints Initial (mm),ARAP_depth_8mm-FarPoints Final (mm)
"4,15",Planar,"2,5",0,"1,21","3,16","2,25","3,02","2,79","5,75","2,65","3,93","2,93","2,97","4,78","26,82","6,59","4,76","5,70","3,02","10,95","3,44"
"2,50",Planar,0,"2,5","1,24","1,00","1,50","1,16","2,33","1,17","2,75","1,12","2,43","1,18","4,58","2,45","6,83","3,10","5,61","1,18","11,13","1,62"
"4,73",Planar,"2,5","2,5","1,21","2,72","2,51","2,76","2,97","3,76","2,67","3,00","3,13","2,77","4,85","3,66","6,64","6,14","5,82","2,78","11,00","3,07"
"16,59",Planar,10,0,"1,23","49,66","8,34","12,07","8,38","14,08","2,67","12,96","8,55","12,76","9,18","12,78","6,61","98,07","9,89","13,43","13,46","85,52"
"10,00",Planar,0,10,"1,20","0,89","5,05","2,30","5,32","2,53","2,68","0,93","5,30","2,95","6,54","2,20","6,65","3,48","7,10","2,80","11,92","13,45"
"17,77",Planar,10,10,"1,18","11,74","8,93","10,96","9,08","70,52","2,66","13,89","9,18","10,98","10,09","30,00","6,65","47,42","10,54","12,27","14,57","35,23"
"3,10",Gradual,0,"2,5","1,19","1,19","1,83","1,43","2,54","1,00","2,67","1,48","2,67","1,39","4,67","4,14","6,65","16,59","5,61","1,30","11,04","9,64"
"5,29",Gradual,"2,5","2,5","1,20","3,03","2,80","2,89","3,22","3,40","2,66","3,19","3,39","3,04","5,04","3,07","6,62","4,57","5,94","2,98","11,06","12,48"
"9,97",Gradual,0,10,"1,21","2,50","5,09","2,28","5,49","3,28","2,69","2,51","5,50","2,78","6,90","3,78","6,70","6,47","7,57","2,56","12,35","16,03"
"20,90",Gradual,10,10,"1,17","16,02","10,48","14,01","10,75","59,12","2,67","43,97","10,67","13,69","11,50","28,85","6,69","25,06","11,81","14,70","15,32","34,59"
