InRays
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
level0,checks,,,,,,,,,,,,,,,,,,,
level0,checks,INITIAL,,,"0,07",,,,,,,"15,38","214,15","398,42",,,,,,
level0,checks,1 / 10,,,"0,15",,,,,,,"15,38","206,59","384,54",,,,,,
level0,checks,2 / 10,,,"0,16",,,,,,,"15,38","206,60","384,52",,,,,,
level0,checks,3 / 10,,,"0,16",,,,,,,"15,38","206,61","384,52",,,,,,
level0,checks,4 / 10,,,"0,16",,,,,,,"15,38","206,63","384,52",,,,,,
level0,checks,5 / 10,,,"0,16",,,,,,,"15,38","206,63","384,52",,,,,,
level0,checks,6 / 10,,,"0,17",,,,,,,"15,38","206,64","384,52",,,,,,
level0,checks,7 / 10,,,"0,17",,,,,,,"15,38","206,64","384,52",,,,,,
level0,checks,8 / 10,,,"0,17",,,,,,,"15,38","206,65","384,52",,,,,,
level0,checks,FINAL,,,"0,17",,,,,,,"15,38","206,65","384,52","3,51","1343,80","74,84","0,74","94,00","188,00"
level0,no_checks,,,,,,,,,,,,,,,,,,,
level0,no_checks,INITIAL,,,"0,07",,,,,,,"15,53","215,34","400,42",,,,,,
level0,no_checks,1 / 10,,,"1,04",,,,,,,"15,53","193,04","360,46",,,,,,
level0,no_checks,2 / 10,,,"1,14",,,,,,,"15,53","192,74","359,88",,,,,,
level0,no_checks,3 / 10,,,"1,16",,,,,,,"15,53","192,65","359,69",,,,,,
level0,no_checks,4 / 10,,,"1,17",,,,,,,"15,53","192,58","359,55",,,,,,
level0,no_checks,5 / 10,,,"1,17",,,,,,,"15,53","192,57","359,54",,,,,,
level0,no_checks,6 / 10,,,"1,17",,,,,,,"15,53","192,57","359,54",,,,,,
level0,no_checks,7 / 10,,,"1,17",,,,,,,"15,53","192,57","359,53",,,,,,
level0,no_checks,8 / 10,,,"1,17",,,,,,,"15,53","192,57","359,53",,,,,,
