TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"0,89","14,31","19,89","12,63",,,,,,
seq0,checks,1 / 12,,,"0,01","0,00","0,02",,,,,,,"0,89","12,65","16,37","11,02",,,,,,
seq0,checks,2 / 12,,,"0,01","0,00","0,02",,,,,,,"0,89","12,64","16,36","11,01",,,,,,
seq0,checks,FINAL,,,"0,01","0,00","0,02",,,,,,,"0,89","12,64","16,36","11,01","11,62","1428,67","2,50","2,86","347,00","476,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,21","19,41","25,64","16,29",,,,,,
seq0,no_checks,1 / 12,,,"0,02","0,00","0,11",,,,,,,"1,21","17,96","22,96","14,62",,,,,,
seq0,no_checks,2 / 12,,,"0,02","0,00","0,09",,,,,,,"1,21","17,95","22,95","14,62",,,,,,
seq0,no_checks,FINAL,,,"0,02","0,00","0,09",,,,,,,"1,21","17,95","22,95","14,62","7,52","1486,59","2,50","2,88","347,00","668,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,12","17,62","23,82","15,09",,,,,,
seq1,no_checks,1 / 12,,,"0,01","0,00","0,10",,,,,,,"1,12","17,22","23,14","14,54",,,,,,
seq1,no_checks,2 / 12,,,"0,01","0,00","0,07",,,,,,,"1,12","17,22","23,13","14,54",,,,,,
seq1,no_checks,FINAL,,,"0,01","0,00","0,07",,,,,,,"1,12","17,22","23,13","14,54","2,27","1531,72","2,50","2,53","260,00","500,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,43","26,05","32,12","21,19",,,,,,
seq2,no_checks,1 / 12,,,"0,05","0,00","0,18",,,,,,,"1,43","14,02","17,46","7,41",,,,,,
seq2,no_checks,2 / 12,,,"0,05","0,00","0,14",,,,,,,"1,43","14,02","17,47","7,40",,,,,,
seq2,no_checks,3 / 12,,,"0,05","0,00","0,14",,,,,,,"1,43","14,01","17,47","7,39",,,,,,
seq2,no_checks,4 / 12,,,"0,05","0,00","0,13",,,,,,,"1,43","14,00","17,47","7,37",,,,,,
seq2,no_checks,5 / 12,,,"0,05","0,00","0,14",,,,,,,"1,43","14,00","17,47","7,35",,,,,,
seq2,no_checks,6 / 12,,,"0,05","0,00","0,14",,,,,,,"1,43","14,00","17,47","7,33",,,,,,
seq2,no_checks,7 / 12,,,"0,05","0,00","0,15",,,,,,,"1,43","14,00","17,47","7,31",,,,,,
seq2,no_checks,8 / 12,,,"0,05","0,00","0,14",,,,,,,"1,43","14,00","17,47","7,27",,,,,,
seq2,no_checks,9 / 12,,,"0,05","0,00","0,15",,,,,,,"1,43","14,00","17,47","7,22",,,,,,
seq2,no_checks,10 / 12,,,"0,05","0,00","0,15",,,,,,,"1,43","14,00","17,48","7,20",,,,,,
seq2,no_checks,11 / 12,,,"0,05","0,00","0,15",,,,,,,"1,43","14,01","17,49","7,20",,,,,,
seq2,no_checks,FINAL,,,"0,05","0,00","0,13",,,,,,,"1,43","14,02","17,51","7,20","46,18","983,62","2,50","3,07","333,00","660,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,24","15,56","22,49","11,50",,,,,,
seq3,no_checks,1 / 12,,,"0,00","0,00","0,03",,,,,,,"1,24","15,54","22,45","11,46",,,,,,
seq3,no_checks,2 / 12,,,"0,00","0,00","0,03",,,,,,,"1,24","15,54","22,44","11,46",,,,,,
seq3,no_checks,FINAL,,,"0,00","0,00","0,03",,,,,,,"1,24","15,54","22,44","11,46","0,17","1249,36","2,50","2,85","336,00","664,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,63","28,58","34,30","22,09",,,,,,
seq4,no_checks,1 / 12,,,"0,02","0,00","0,12",,,,,,,"1,63","25,71","30,28","18,79",,,,,,
seq4,no_checks,2 / 12,,,"0,02","0,00","0,09",,,,,,,"1,63","25,70","30,28","18,78",,,,,,
seq4,no_checks,FINAL,,,"0,02","0,00","0,09",,,,,,,"1,63","25,70","30,28","18,78","10,06","1575,86","2,50","3,06","307,00","596,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"2,02","31,08","36,69","23,67",,,,,,
seq5,no_checks,1 / 12,,,"0,06","0,00","0,59",,,,,,,"2,02","19,98","26,67","12,48",,,,,,
seq5,no_checks,2 / 12,,,"0,06","0,00","0,53",,,,,,,"2,02","19,72","26,44","12,11",,,,,,
seq5,no_checks,3 / 12,,,"0,06","0,00","0,53",,,,,,,"2,02","19,72","26,44","12,11",,,,,,
seq5,no_checks,FINAL,,,"0,06","0,00","0,53",,,,,,,"2,02","19,72","26,44","12,11","36,55","976,93","2,50","2,80","155,00","308,00"
