TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"0,89","14,31","19,89","12,63",,,,,,
seq0,checks,1 / 12,,,"0,00","0,00","0,01",,,,,,,"0,89","13,71","18,53","12,04",,,,,,
seq0,checks,2 / 12,,,"0,00","0,00","0,01",,,,,,,"0,89","13,71","18,53","12,04",,,,,,
seq0,checks,FINAL,,,"0,00","0,00","0,01",,,,,,,"0,89","13,71","18,53","12,04","4,16","1549,20","2,50","2,86","347,00","476,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,21","19,41","25,64","16,29",,,,,,
seq0,no_checks,1 / 12,,,"0,00","0,00","0,03",,,,,,,"1,21","19,32","25,45","16,17",,,,,,
seq0,no_checks,2 / 12,,,"0,00","0,00","0,04",,,,,,,"1,21","19,30","25,41","16,14",,,,,,
seq0,no_checks,3 / 12,,,"0,00","0,00","0,06",,,,,,,"1,21","19,24","25,30","16,08",,,,,,
seq0,no_checks,4 / 12,,,"0,01","0,00","0,05",,,,,,,"1,21","19,23","25,28","16,06",,,,,,
seq0,no_checks,5 / 12,,,"0,01","0,00","0,05",,,,,,,"1,21","19,22","25,27","16,06",,,,,,
seq0,no_checks,FINAL,,,"0,01","0,00","0,05",,,,,,,"1,21","19,22","25,27","16,06","0,99","1591,66","2,50","2,88","347,00","668,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,13","17,63","23,81","15,05",,,,,,
seq1,no_checks,1 / 12,,,"0,00","0,00","0,05",,,,,,,"1,13","17,31","23,25","14,60",,,,,,
seq1,no_checks,2 / 12,,,"0,00","0,00","0,04",,,,,,,"1,13","17,30","23,23","14,59",,,,,,
seq1,no_checks,FINAL,,,"0,00","0,00","0,04",,,,,,,"1,13","17,30","23,23","14,59","1,87","1537,28","2,50","2,53","261,00","502,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,43","25,92","31,98","21,14",,,,,,
seq2,no_checks,1 / 12,,,"0,04","0,00","0,19",,,,,,,"1,43","16,33","20,00","10,87",,,,,,
seq2,no_checks,2 / 12,,,"0,04","0,00","0,16",,,,,,,"1,43","16,34","20,01","10,88",,,,,,
seq2,no_checks,3 / 12,,,"0,05","0,00","0,19",,,,,,,"1,43","16,34","20,01","10,85",,,,,,
seq2,no_checks,4 / 12,,,"0,05","0,00","0,13",,,,,,,"1,43","16,28","19,95","10,79",,,,,,
seq2,no_checks,5 / 12,,,"0,04","0,00","0,16",,,,,,,"1,43","16,19","19,87","10,70",,,,,,
seq2,no_checks,6 / 12,,,"0,04","0,00","0,17",,,,,,,"1,43","16,19","19,87","10,69",,,,,,
seq2,no_checks,FINAL,,,"0,04","0,00","0,17",,,,,,,"1,43","16,19","19,87","10,69","37,54","1135,04","2,50","3,07","335,00","664,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,20","15,73","22,74","11,64",,,,,,
seq3,no_checks,1 / 12,,,"0,01","0,00","0,05",,,,,,,"1,20","15,58","22,47","11,40",,,,,,
seq3,no_checks,2 / 12,,,"0,01","0,00","0,08",,,,,,,"1,20","15,48","22,34","11,27",,,,,,
seq3,no_checks,3 / 12,,,"0,01","0,00","0,06",,,,,,,"1,20","15,46","22,30","11,22",,,,,,
seq3,no_checks,4 / 12,,,"0,01","0,00","0,05",,,,,,,"1,20","15,46","22,30","11,22",,,,,,
seq3,no_checks,FINAL,,,"0,01","0,00","0,05",,,,,,,"1,20","15,46","22,30","11,22","1,68","1288,63","2,50","2,85","339,00","670,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,68","28,58","34,28","22,15",,,,,,
seq4,no_checks,1 / 12,,,"0,02","0,00","0,14",,,,,,,"1,68","25,85","30,44","18,99",,,,,,
seq4,no_checks,2 / 12,,,"0,02","0,00","0,08",,,,,,,"1,68","20,10","24,02","13,01",,,,,,
seq4,no_checks,3 / 12,,,"0,02","0,00","0,08",,,,,,,"1,68","20,09","24,01","13,00",,,,,,
seq4,no_checks,4 / 12,,,"0,02","0,00","0,09",,,,,,,"1,68","20,08","23,99","12,98",,,,,,
seq4,no_checks,5 / 12,,,"0,02","0,00","0,08",,,,,,,"1,68","20,05","23,97","12,96",,,,,,
seq4,no_checks,6 / 12,,,"0,02","0,00","0,08",,,,,,,"1,68","20,02","23,94","12,93",,,,,,
seq4,no_checks,7 / 12,,,"0,02","0,00","0,09",,,,,,,"1,68","20,00","23,92","12,90",,,,,,
seq4,no_checks,8 / 12,,,"0,02","0,00","0,08",,,,,,,"1,68","19,98","23,91","12,88",,,,,,
seq4,no_checks,9 / 12,,,"0,03","0,00","0,24",,,,,,,"1,68","18,77","22,77","11,46",,,,,,
seq4,no_checks,10 / 12,,,"0,03","0,00","0,17",,,,,,,"1,68","18,76","22,77","11,46",,,,,,
seq4,no_checks,11 / 12,,,"0,03","0,00","0,16",,,,,,,"1,68","18,75","22,76","11,44",,,,,,
seq4,no_checks,FINAL,,,"0,03","0,00","0,15",,,,,,,"1,68","18,74","22,75","11,43","34,42","1118,81","2,50","3,08","309,00","600,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"2,03","31,24","36,85","23,63",,,,,,
seq5,no_checks,1 / 12,,,"0,05","0,00","0,55",,,,,,,"2,03","19,56","25,67","9,51",,,,,,
seq5,no_checks,2 / 12,,,"0,05","0,00","0,66",,,,,,,"2,03","19,56","25,65","9,48",,,,,,
seq5,no_checks,3 / 12,,,"0,05","0,00","0,67",,,,,,,"2,03","19,56","25,65","9,48",,,,,,
seq5,no_checks,FINAL,,,"0,05","0,00","0,67",,,,,,,"2,03","19,56","25,65","9,48","37,39","964,55","2,50","2,81","156,00","310,00"
