parallax,Av. error (mm),Info
"0,18","199,51",seq0_checks
"0,18","203,08",seq0_checks
"0,42","180,41",seq0_checks
"0,42","184,94",seq0_checks
"0,64","210,90",seq0_checks
"0,64","216,59",seq0_checks
"0,18","195,10",seq0_checks
"0,18","198,61",seq0_checks
"0,18","194,65",seq0_checks
"0,18","198,15",seq0_checks
"0,53","191,14",seq0_checks
"0,53","188,08",seq0_checks
"0,34","205,55",seq0_checks
"0,34","210,43",seq0_checks
"0,47","177,05",seq0_checks
"0,47","181,54",seq0_checks
"0,40","201,14",seq0_checks
"0,40","205,57",seq0_checks
"0,46","202,06",seq0_checks
"0,46","206,82",seq0_checks
"0,08","193,69",seq0_checks
"0,08","197,75",seq0_checks
"0,07","205,08",seq0_checks
"0,07","200,24",seq0_checks
"0,17","194,91",seq0_checks
"0,17","198,61",seq0_checks
"0,20","201,40",seq0_checks
"0,20","205,69",seq0_checks
"0,39","259,48",seq0_checks
"0,39","252,96",seq0_checks
"0,23","206,73",seq0_checks
"0,23","202,46",seq0_checks
"0,26","206,88",seq0_checks
"0,26","202,75",seq0_checks
"0,20","200,71",seq0_checks
"0,20","204,97",seq0_checks
"0,22","201,31",seq0_checks
"0,22","205,52",seq0_checks
"0,17","199,47",seq0_checks
"0,17","203,38",seq0_checks
"0,33","205,01",seq0_checks
"0,33","200,94",seq0_checks
"0,50","186,40",seq0_checks
"0,50","190,91",seq0_checks
"0,12","194,68",seq0_checks
"0,12","198,36",seq0_checks
"0,41","186,98",seq0_checks
"0,41","184,00",seq0_checks
"0,49","186,73",seq0_checks
"0,49","183,61",seq0_checks
"0,22","200,25",seq0_checks
"0,22","203,67",seq0_checks
"0,55","195,53",seq0_checks
"0,55","193,47",seq0_checks
"0,55","195,69",seq0_checks
"0,55","193,59",seq0_checks
"0,56","180,40",seq0_checks
"0,56","178,34",seq0_checks
"0,53","189,57",seq0_checks
"0,53","194,61",seq0_checks
"0,52","196,28",seq0_checks
"0,52","193,71",seq0_checks
"0,03","195,32",seq0_checks
"0,03","198,66",seq0_checks
"0,13","201,35",seq0_checks
"0,13","205,11",seq0_checks
"0,15","195,06",seq0_checks
"0,15","198,66",seq0_checks
"0,56","177,46",seq0_checks
"0,56","175,14",seq0_checks
"0,15","201,06",seq0_checks
"0,15","204,73",seq0_checks
"0,23","193,62",seq0_checks
"0,23","197,65",seq0_checks
"0,24","193,64",seq0_checks
"0,24","197,66",seq0_checks
"0,13","205,21",seq0_checks
"0,13","200,52",seq0_checks
"0,40","202,12",seq0_checks
"0,40","199,14",seq0_checks
