TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,40","192,55","246,71","97,75",,,,,,
seq0,checks,1 / 12,,,"0,01","0,00","0,01",,,,,,,"1,40","199,73","200,67","0,67",,,,,,
seq0,checks,2 / 12,,,"0,01","0,00","0,01",,,,,,,"1,40","199,74","200,67","0,02",,,,,,
seq0,checks,3 / 12,,,"0,01","0,00","0,01",,,,,,,"1,40","199,74","200,67","0,02",,,,,,
seq0,checks,FINAL,,,"0,01","0,00","0,01",,,,,,,"1,40","199,74","200,67","0,02","-3,73","14226,82","1,77","0,20","597,00","148,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"1,69","44,45","91,26","44,06",,,,,,
seq0,no_checks,1 / 12,,,"0,13","0,00","0,23",,,,,,,"1,69","31,55","33,53","5,02",,,,,,
seq0,no_checks,2 / 12,,,"0,25","0,00","0,80",,,,,,,"1,69","24,28","25,30","5,01",,,,,,
seq0,no_checks,3 / 12,,,"0,33","0,00","1,19",,,,,,,"1,69","17,38","19,50","4,80",,,,,,
seq0,no_checks,4 / 12,,,"0,12","0,00","0,53",,,,,,,"1,69","20,12","23,26","10,73",,,,,,
seq0,no_checks,5 / 12,,,"0,11","0,00","0,52",,,,,,,"1,69","20,27","23,35","9,38",,,,,,
seq0,no_checks,6 / 12,,,"0,10","0,00","0,41",,,,,,,"1,69","21,08","23,93","7,37",,,,,,
seq0,no_checks,7 / 12,,,"0,09","0,00","0,41",,,,,,,"1,69","21,10","23,95","7,36",,,,,,
seq0,no_checks,8 / 12,,,"0,09","0,00","0,39",,,,,,,"1,69","21,11","23,96","7,36",,,,,,
seq0,no_checks,9 / 12,,,"0,09","0,00","0,39",,,,,,,"1,69","21,11","23,96","7,37",,,,,,
