parallax,Av. error (mm),Info
"0,18","152,23",seq0_checks
"0,18","156,05",seq0_checks
"0,42","116,28",seq0_checks
"0,42","115,37",seq0_checks
"0,64","57,69",seq0_checks
"0,64","57,27",seq0_checks
"0,53","85,38",seq0_checks
"0,53","86,83",seq0_checks
"0,18","170,16",seq0_checks
"0,18","172,76",seq0_checks
"0,18","171,73",seq0_checks
"0,18","174,46",seq0_checks
"0,46","91,00",seq0_checks
"0,46","90,39",seq0_checks
"0,17","256,43",seq0_checks
"0,17","255,50",seq0_checks
"0,20","239,74",seq0_checks
"0,20","241,11",seq0_checks
"0,47","96,06",seq0_checks
"0,47","95,00",seq0_checks
"0,40","98,62",seq0_checks
"0,40","97,85",seq0_checks
"0,39","84,97",seq0_checks
"0,39","89,33",seq0_checks
"0,07","528,95",seq0_checks
"0,07","532,63",seq0_checks
"0,34","131,53",seq0_checks
"0,34","131,62",seq0_checks
"0,08","552,11",seq0_checks
"0,08","554,94",seq0_checks
"0,23","199,11",seq0_checks
"0,23","200,86",seq0_checks
"0,26","171,06",seq0_checks
"0,26","172,97",seq0_checks
"0,20","239,37",seq0_checks
"0,20","240,81",seq0_checks
"0,22","203,96",seq0_checks
"0,22","203,61",seq0_checks
"0,17","254,18",seq0_checks
"0,17","253,32",seq0_checks
"0,33","136,60",seq0_checks
"0,33","139,07",seq0_checks
"0,50","84,88",seq0_checks
"0,50","83,99",seq0_checks
"0,12","325,48",seq0_checks
"0,12","326,50",seq0_checks
"0,41","114,43",seq0_checks
"0,41","115,51",seq0_checks
"0,49","84,14",seq0_checks
"0,49","85,26",seq0_checks
"0,22","106,23",seq0_checks
"0,22","111,49",seq0_checks
"0,55","84,38",seq0_checks
"0,55","85,82",seq0_checks
"0,55","84,41",seq0_checks
"0,55","85,83",seq0_checks
"0,56","82,98",seq0_checks
"0,56","84,00",seq0_checks
"0,53","86,30",seq0_checks
"0,53","85,59",seq0_checks
"0,52","85,69",seq0_checks
"0,52","87,28",seq0_checks
"0,03","990,49",seq0_checks
"0,03","990,33",seq0_checks
"0,13","307,62",seq0_checks
"0,13","309,33",seq0_checks
"0,15","243,98",seq0_checks
"0,15","245,75",seq0_checks
"0,56","72,58",seq0_checks
"0,56","73,35",seq0_checks
"0,15","220,91",seq0_checks
"0,15","223,58",seq0_checks
"0,23","153,91",seq0_checks
"0,23","158,44",seq0_checks
"0,24","148,37",seq0_checks
"0,24","152,95",seq0_checks
"0,13","276,79",seq0_checks
"0,13","282,82",seq0_checks
"0,40","122,21",seq0_checks
"0,40","123,93",seq0_checks
"0,56","83,19",seq0_checks
"0,56","84,35",seq0_checks
"0,56","79,98",seq0_checks
"0,56","79,03",seq0_checks
"0,56","78,43",seq0_checks
"0,56","79,38",seq0_checks
"0,20","141,95",seq0_checks
"0,20","145,60",seq0_checks
"0,28","165,93",seq0_checks
"0,28","165,47",seq0_checks
"0,26","178,83",seq0_checks
"0,26","178,28",seq0_checks
"0,52","85,68",seq0_checks
"0,52","86,78",seq0_checks
"0,47","100,91",seq0_checks
"0,47","101,77",seq0_checks
"0,12","410,01",seq0_checks
"0,12","409,23",seq0_checks
"0,12","413,63",seq0_checks
"0,12","415,23",seq0_checks
"0,10","512,06",seq0_checks
"0,10","512,80",seq0_checks
"0,12","329,37",seq0_checks
"0,12","330,10",seq0_checks
"0,42","118,05",seq0_checks
"0,42","117,22",seq0_checks
"0,42","117,05",seq0_checks
"0,42","118,42",seq0_checks
"0,19","275,86",seq0_checks
"0,19","275,44",seq0_checks
"0,21","210,82",seq0_checks
"0,21","210,46",seq0_checks
"0,14","362,48",seq0_checks
"0,14","362,77",seq0_checks
"0,21","182,41",seq0_checks
"0,21","182,25",seq0_checks
"0,20","223,98",seq0_checks
"0,20","223,35",seq0_checks
"0,63","58,18",seq0_checks
"0,63","57,74",seq0_checks
"0,61","39,82",seq0_checks
"0,61","43,14",seq0_checks
"0,48","96,86",seq0_checks
