FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,41","190,77","244,36","96,68",,,,,,
seq0,checks,1 / 12,,,"0,02","0,00","0,02",,,,,,,"1,41","197,38","198,37","0,63",,,,,,
seq0,checks,2 / 12,,,"0,02","0,00","0,02",,,,,,,"1,41","197,39","198,36","0,02",,,,,,
seq0,checks,3 / 12,,,"0,02","0,00","0,02",,,,,,,"1,41","197,39","198,36","0,02",,,,,,
seq0,checks,FINAL,,,"0,02","0,00","0,02",,,,,,,"1,41","197,39","198,36","0,02","-3,47","14047,27","1,77","0,20","595,00","152,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,02","0,01","0,42",,,,,,,"1,69","44,67","91,37","44,25",,,,,,
seq0,no_checks,1 / 12,,,"0,47","0,00","1,39",,,,,,,"1,69","31,75","51,02","23,60",,,,,,
seq0,no_checks,2 / 12,,,"0,31","0,00","0,86",,,,,,,"1,69","31,30","46,97","22,10",,,,,,
seq0,no_checks,3 / 12,,,"0,24","0,00","0,42",,,,,,,"1,69","29,70","40,95","17,44",,,,,,
seq0,no_checks,4 / 12,,,"0,19","0,00","0,66",,,,,,,"1,69","28,58","35,06","11,86",,,,,,
seq0,no_checks,5 / 12,,,"0,34","0,00","0,57",,,,,,,"1,69","25,20","27,32","7,44",,,,,,
seq0,no_checks,6 / 12,,,"0,28","0,00","0,43",,,,,,,"1,69","20,22","21,49","3,97",,,,,,
seq0,no_checks,7 / 12,,,"0,30","0,00","0,48",,,,,,,"1,69","19,88","21,09","3,71",,,,,,
seq0,no_checks,8 / 12,,,"0,19","0,00","0,34",,,,,,,"1,69","17,00","17,85","3,32",,,,,,
seq0,no_checks,9 / 12,,,"0,21","0,00","0,40",,,,,,,"1,69","4,86","6,35","3,60",,,,,,
seq0,no_checks,10 / 12,,,"0,35","0,00","0,89",,,,,,,"1,69","6,37","9,17","3,37",,,,,,
seq0,no_checks,11 / 12,,,"0,17","0,00","0,35",,,,,,,"1,69","9,96","12,53","4,34",,,,,,
seq0,no_checks,FINAL,,,"0,14","0,00","0,29",,,,,,,"1,69","11,15","13,53","4,73","75,04","661,43","1,77","1,81","596,00","1190,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,98","0,00","39,51",,,,,,,"4,37","29,58","35,24","24,97",,,,,,
seq1,no_checks,1 / 12,,,"1,40","0,00","7,78",,,,,,,"4,37","28,24","33,73","23,09",,,,,,
seq1,no_checks,2 / 12,,,"1,36","0,00","8,06",,,,,,,"4,37","27,58","32,92","22,28",,,,,,
seq1,no_checks,3 / 12,,,"1,17","0,00","8,50",,,,,,,"4,37","26,76","31,93","21,30",,,,,,
seq1,no_checks,4 / 12,,,"0,48","0,00","3,90",,,,,,,"4,37","18,52","23,46","11,05",,,,,,
seq1,no_checks,5 / 12,,,"0,53","0,00","5,36",,,,,,,"4,37","18,33","23,21","10,59",,,,,,
seq1,no_checks,6 / 12,,,"0,65","0,00","5,36",,,,,,,"4,37","18,30","23,17","10,43",,,,,,
seq1,no_checks,7 / 12,,,"0,70","0,00","5,06",,,,,,,"4,37","18,34","23,21","10,38",,,,,,
seq1,no_checks,8 / 12,,,"0,76","0,00","5,47",,,,,,,"4,37","18,38","23,26","10,38",,,,,,
seq1,no_checks,9 / 12,,,"0,75","0,00","4,97",,,,,,,"4,37","18,54","23,46","10,09",,,,,,
seq1,no_checks,10 / 12,,,"0,70","0,00","4,91",,,,,,,"4,37","18,58","23,51","10,10",,,,,,
seq1,no_checks,11 / 12,,,"0,70","0,00","4,92",,,,,,,"4,37","18,59","23,52","10,11",,,,,,
seq1,no_checks,FINAL,,,"0,70","0,00","4,92",,,,,,,"4,37","18,59","23,52","10,11","37,17","424,94","3,97","4,12","431,00","860,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,08","0,01","1,84",,,,,,,"1,81","23,02","28,38","25,02",,,,,,
seq2,no_checks,1 / 12,,,"0,24","0,00","0,69",,,,,,,"1,81","22,01","26,79","22,80",,,,,,
seq2,no_checks,2 / 12,,,"0,35","0,00","0,83",,,,,,,"1,81","21,52","26,04","22,17",,,,,,
