TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
level0,checks,,,,,,,,,,,,,,,,,,,
level0,checks,INITIAL,,,"0,00",,,,,,,"2,58","38,07","59,90",,,,,,
level0,checks,1 / 15,,,"0,00",,,,,,,"2,58","38,06","59,90",,,,,,
level0,checks,2 / 15,,,"0,00",,,,,,,"2,58","38,06","59,89",,,,,,
level0,checks,3 / 15,,,"0,00",,,,,,,"2,58","38,06","59,89",,,,,,
level0,checks,4 / 15,,,"0,00",,,,,,,"2,58","38,05","59,89",,,,,,
level0,checks,5 / 15,,,"0,00",,,,,,,"2,58","38,05","59,89",,,,,,
level0,checks,6 / 15,,,"0,00",,,,,,,"2,58","38,04","59,89",,,,,,
level0,checks,7 / 15,,,"0,00",,,,,,,"2,58","38,04","59,88",,,,,,
level0,checks,8 / 15,,,"0,00",,,,,,,"2,58","38,03","59,88",,,,,,
level0,checks,9 / 15,,,"0,00",,,,,,,"2,58","38,02","59,88",,,,,,
level0,checks,10 / 15,,,"0,00",,,,,,,"2,58","38,01","59,87",,,,,,
level0,checks,11 / 15,,,"0,00",,,,,,,"2,58","38,01","59,87",,,,,,
level0,checks,12 / 15,,,"0,00",,,,,,,"2,58","38,00","59,87",,,,,,
level0,checks,13 / 15,,,"0,00",,,,,,,"2,58","38,00","59,86",,,,,,
level0,checks,14 / 15,,,"0,00",,,,,,,"2,58","37,99","59,86",,,,,,
level0,checks,FINAL,,,"0,00",,,,,,,"2,58","37,99","59,86","0,21","1470,39","131,58","1,96","109,00","214,00"
level0,no_checks,,,,,,,,,,,,,,,,,,,
level0,no_checks,INITIAL,,,"0,00",,,,,,,"5,57","60,12","181,35",,,,,,
level0,no_checks,1 / 15,,,"0,01",,,,,,,"5,57","60,11","181,30",,,,,,
level0,no_checks,2 / 15,,,"0,02",,,,,,,"5,57","60,11","181,29",,,,,,
level0,no_checks,3 / 15,,,"0,02",,,,,,,"5,57","60,11","181,29",,,,,,
level0,no_checks,4 / 15,,,"0,02",,,,,,,"5,57","60,12","181,29",,,,,,
level0,no_checks,5 / 15,,,"0,02",,,,,,,"5,57","60,12","181,29",,,,,,
level0,no_checks,6 / 15,,,"0,02",,,,,,,"5,57","60,13","181,29",,,,,,
level0,no_checks,7 / 15,,,"0,02",,,,,,,"5,57","60,13","181,30",,,,,,
level0,no_checks,8 / 15,,,"0,02",,,,,,,"5,57","60,14","181,30",,,,,,
level0,no_checks,9 / 15,,,"0,02",,,,,,,"5,57","60,14","181,30",,,,,,
level0,no_checks,10 / 15,,,"0,02",,,,,,,"5,57","60,15","181,30",,,,,,
level0,no_checks,11 / 15,,,"0,02",,,,,,,"5,57","60,16","181,31",,,,,,
level0,no_checks,12 / 15,,,"0,02",,,,,,,"5,57","60,17","181,31",,,,,,
level0,no_checks,13 / 15,,,"0,02",,,,,,,"5,57","60,18","181,31",,,,,,
level0,no_checks,14 / 15,,,"0,02",,,,,,,"5,57","60,18","181,31",,,,,,
level0,no_checks,FINAL,,,"0,02",,,,,,,"5,57","60,19","181,31","-0,11","1080,27","131,58","2,00","109,00","218,00"
level1,no_checks,,,,,,,,,,,,,,,,,,,
