InRays
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
level0,checks,,,,,,,,,,,,,,,,,,,
level0,checks,INITIAL,,,"0,08",,,,,,,"5,57","60,10","181,26",,,,,,
level0,checks,1 / 8,,,"0,04",,,,,,,"5,57","58,28","176,70",,,,,,
level0,checks,2 / 8,,,"0,04",,,,,,,"5,57","58,27","176,68",,,,,,
level0,checks,3 / 8,,,"0,04",,,,,,,"5,57","58,25","176,65",,,,,,
level0,checks,4 / 8,,,"0,04",,,,,,,"5,57","58,21","176,62",,,,,,
level0,checks,5 / 8,,,"0,04",,,,,,,"5,57","58,18","176,59",,,,,,
level0,checks,6 / 8,,,"0,04",,,,,,,"5,57","58,14","176,57",,,,,,
level0,checks,7 / 8,,,"0,04",,,,,,,"5,57","58,10","176,54",,,,,,
level0,checks,FINAL,,,"0,04",,,,,,,"5,57","58,04","176,49","3,43","1042,90","131,58","2,00","109,00","218,00"
level0,no_checks,,,,,,,,,,,,,,,,,,,
level0,no_checks,INITIAL,,,"0,08",,,,,,,"5,57","60,11","181,26",,,,,,
level0,no_checks,1 / 8,,,"0,04",,,,,,,"5,57","59,39","179,36",,,,,,
level0,no_checks,2 / 8,,,"0,05",,,,,,,"5,57","59,38","179,35",,,,,,
level0,no_checks,3 / 8,,,"0,05",,,,,,,"5,57","59,38","179,35",,,,,,
level0,no_checks,4 / 8,,,"0,05",,,,,,,"5,57","59,38","179,35",,,,,,
level0,no_checks,5 / 8,,,"0,05",,,,,,,"5,57","59,38","179,35",,,,,,
level0,no_checks,6 / 8,,,"0,05",,,,,,,"5,57","59,37","179,34",,,,,,
level0,no_checks,7 / 8,,,"0,06",,,,,,,"5,57","59,40","179,34",,,,,,
level0,no_checks,FINAL,,,"0,06",,,,,,,"5,57","59,39","179,33","1,19","1065,95","131,58","2,00","109,00","218,00"
level1,no_checks,,,,,,,,,,,,,,,,,,,
level1,no_checks,INITIAL,,,"0,06",,,,,,,"34,42","145,23","293,60",,,,,,
level1,no_checks,1 / 8,,,"0,46",,,,,,,"34,42","30,79","32,32",,,,,,
level1,no_checks,2 / 8,,,"0,46",,,,,,,"34,42","30,79","32,32",,,,,,
level1,no_checks,FINAL,,,"0,46",,,,,,,"34,42","30,79","32,32","78,80","89,45","131,67","2,05","86,00","152,00"
level2,no_checks,,,,,,,,,,,,,,,,,,,
level2,no_checks,INITIAL,,,"0,45",,,,,,,"60,56","394,62","471,13",,,,,,
level2,no_checks,1 / 8,,,"5,18",,,,,,,"60,56","366,18","404,03",,,,,,
level2,no_checks,2 / 8,,,"5,30",,,,,,,"60,56","367,78","404,54",,,,,,
level2,no_checks,3 / 8,,,"5,36",,,,,,,"60,56","371,94","408,59",,,,,,
level2,no_checks,4 / 8,,,"5,36",,,,,,,"60,56","375,74","413,67",,,,,,
level2,no_checks,5 / 8,,,"5,41",,,,,,,"60,56","377,90","417,15",,,,,,
level2,no_checks,6 / 8,,,"5,41",,,,,,,"60,56","379,83","420,60",,,,,,
level2,no_checks,7 / 8,,,"5,87",,,,,,,"60,56","373,51","414,95",,,,,,
level2,no_checks,FINAL,,,"5,46",,,,,,,"60,56","374,71","418,06","5,04","618,78","93,35","2,05","87,00","154,00"
level3,no_checks,,,,,,,,,,,,,,,,,,,
level3,no_checks,INITIAL,,,"0,67",,,,,,,"47,71","294,54","375,64",,,,,,
level3,no_checks,1 / 8,,,"0,49",,,,,,,"47,71","294,21","375,28",,,,,,
level3,no_checks,2 / 8,,,"0,50",,,,,,,"47,71","294,10","375,14",,,,,,
level3,no_checks,3 / 8,,,"0,49",,,,,,,"47,71","293,83","374,84",,,,,,
level3,no_checks,4 / 8,,,"0,50",,,,,,,"47,71","293,54","374,52",,,,,,
level3,no_checks,5 / 8,,,"0,50",,,,,,,"47,71","293,34","374,29",,,,,,
level3,no_checks,6 / 8,,,"0,51",,,,,,,"47,71","293,14","374,06",,,,,,
level3,no_checks,7 / 8,,,"0,51",,,,,,,"47,71","292,89","373,78",,,,,,
level3,no_checks,FINAL,,,"0,51",,,,,,,"47,71","292,79","373,66","0,59","613,71","67,52","1,98","133,00","230,00"
