FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,02",,,,,,,"0,94","22,89","34,19","23,57",,,,,,
seq0,checks,1 / 12,,,"0,02","0,00","0,05",,,,,,,"0,94","5,02","5,47","2,09",,,,,,
seq0,checks,2 / 12,,,"0,02","0,00","0,05",,,,,,,"0,94","5,02","5,47","2,09",,,,,,
seq0,checks,FINAL,,,"0,02","0,00","0,05",,,,,,,"0,94","5,02","5,47","2,09","78,05","532,25","2,50","2,15","347,00","294,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,12","0,00","0,98",,,,,,,"1,61","33,48","44,80","33,03",,,,,,
seq0,no_checks,1 / 12,,,"0,11","0,00","0,66",,,,,,,"1,61","33,30","44,41","32,80",,,,,,
seq0,no_checks,2 / 12,,,"0,21","0,00","1,17",,,,,,,"1,61","19,06","22,70","17,27",,,,,,
seq0,no_checks,3 / 12,,,"0,16","0,00","0,50",,,,,,,"1,61","13,03","15,68","10,91",,,,,,
seq0,no_checks,4 / 12,,,"0,18","0,00","0,56",,,,,,,"1,61","12,74","15,35","10,58",,,,,,
seq0,no_checks,5 / 12,,,"0,22","0,00","0,69",,,,,,,"1,61","12,35","14,94","10,16",,,,,,
seq0,no_checks,6 / 12,,,"0,16","0,00","0,55",,,,,,,"1,61","10,82","13,90","8,24",,,,,,
seq0,no_checks,7 / 12,,,"0,13","0,00","0,62",,,,,,,"1,61","10,59","13,59","7,85",,,,,,
seq0,no_checks,8 / 12,,,"0,18","0,00","1,06",,,,,,,"1,61","10,45","13,50","7,55",,,,,,
seq0,no_checks,9 / 12,,,"0,19","0,00","1,06",,,,,,,"1,61","10,41","13,48","7,46",,,,,,
seq0,no_checks,10 / 12,,,"0,15","0,00","0,65",,,,,,,"1,61","10,40","13,55","7,36",,,,,,
seq0,no_checks,11 / 12,,,"0,14","0,00","0,54",,,,,,,"1,61","10,37","13,49","7,23",,,,,,
seq0,no_checks,FINAL,,,"0,18","0,00","0,81",,,,,,,"1,61","10,36","13,44","7,03","69,05","642,82","2,50","2,56","345,00","668,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,06","0,01","0,83",,,,,,,"1,98","35,50","49,26","34,31",,,,,,
seq1,no_checks,1 / 12,,,"0,37","0,02","5,03",,,,,,,"1,98","33,64","45,48","31,61",,,,,,
seq1,no_checks,2 / 12,,,"0,34","0,02","4,47",,,,,,,"1,98","33,34","44,92","31,46",,,,,,
seq1,no_checks,3 / 12,,,"0,48","0,02","7,39",,,,,,,"1,98","33,15","44,45","30,92",,,,,,
seq1,no_checks,4 / 12,,,"0,58","0,02","8,27",,,,,,,"1,98","33,12","44,38","30,89",,,,,,
seq1,no_checks,5 / 12,,,"0,54","0,02","8,36",,,,,,,"1,98","33,11","44,36","30,87",,,,,,
seq1,no_checks,6 / 12,,,"0,56","0,02","8,61",,,,,,,"1,98","33,11","44,33","30,84",,,,,,
seq1,no_checks,7 / 12,,,"0,57","0,02","8,95",,,,,,,"1,98","33,09","44,26","30,80",,,,,,
seq1,no_checks,8 / 12,,,"0,57","0,02","9,17",,,,,,,"1,98","33,08","44,22","30,76",,,,,,
seq1,no_checks,9 / 12,,,"0,56","0,02","9,39",,,,,,,"1,98","33,08","44,21","30,74",,,,,,
seq1,no_checks,10 / 12,,,"0,58","0,02","9,53",,,,,,,"1,98","33,07","44,18","30,71",,,,,,
seq1,no_checks,11 / 12,,,"0,58","0,02","9,68",,,,,,,"1,98","33,06","44,16","30,69",,,,,,
seq1,no_checks,FINAL,,,"0,59","0,02","9,71",,,,,,,"1,98","33,06","44,15","30,69","6,87","1667,24","2,50","2,78","381,00","700,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,11","0,01","2,58",,,,,,,"2,07","30,36","39,04","28,80",,,,,,
seq2,no_checks,1 / 12,,,"0,16","0,00","1,14",,,,,,,"2,07","29,99","38,40","28,21",,,,,,
seq2,no_checks,2 / 12,,,"0,18","0,00","1,26",,,,,,,"2,07","25,96","32,08","22,62",,,,,,
seq2,no_checks,3 / 12,,,"0,18","0,00","1,10",,,,,,,"2,07","25,79","31,84","22,42",,,,,,
seq2,no_checks,4 / 12,,,"0,17","0,00","1,03",,,,,,,"2,07","24,17","29,62","20,54",,,,,,
seq2,no_checks,5 / 12,,,"0,15","0,00","1,23",,,,,,,"2,07","22,41","27,46","18,58",,,,,,
seq2,no_checks,6 / 12,,,"0,08","0,00","0,28",,,,,,,"2,07","16,74","18,83","5,25",,,,,,
seq2,no_checks,7 / 12,,,"0,08","0,00","0,27",,,,,,,"2,07","16,75","18,84","5,25",,,,,,
seq2,no_checks,8 / 12,,,"0,08","0,00","0,25",,,,,,,"2,07","16,76","18,86","5,25",,,,,,
seq2,no_checks,9 / 12,,,"0,08","0,00","0,26",,,,,,,"2,07","16,78","18,87","5,24",,,,,,
seq2,no_checks,10 / 12,,,"0,08","0,00","0,25",,,,,,,"2,07","16,78","18,87","5,24",,,,,,
seq2,no_checks,11 / 12,,,"0,08","0,00","0,25",,,,,,,"2,07","16,81","18,89","5,23",,,,,,
seq2,no_checks,FINAL,,,"0,08","0,00","0,24",,,,,,,"2,07","16,81","18,90","5,23","44,62","813,30","2,50","2,95","365,00","694,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,13","0,01","4,13",,,,,,,"2,30","35,23","48,90","31,74",,,,,,
seq3,no_checks,1 / 12,,,"0,16","0,00","1,01",,,,,,,"2,30","34,72","47,87","30,84",,,,,,
seq3,no_checks,2 / 12,,,"0,17","0,00","0,90",,,,,,,"2,30","32,43","43,28","27,40",,,,,,
seq3,no_checks,3 / 12,,,"0,18","0,00","0,88",,,,,,,"2,30","32,42","43,25","27,36",,,,,,
seq3,no_checks,4 / 12,,,"0,19","0,00","0,86",,,,,,,"2,30","32,41","43,24","27,35",,,,,,
seq3,no_checks,5 / 12,,,"0,18","0,00","0,85",,,,,,,"2,30","32,41","43,24","27,34",,,,,,
seq3,no_checks,6 / 12,,,"0,17","0,00","0,83",,,,,,,"2,30","32,40","43,23","27,33",,,,,,
seq3,no_checks,7 / 12,,,"0,17","0,00","0,84",,,,,,,"2,30","32,39","43,22","27,32",,,,,,
seq3,no_checks,8 / 12,,,"0,17","0,00","0,84",,,,,,,"2,30","32,39","43,22","27,31",,,,,,
seq3,no_checks,FINAL,,,"0,17","0,00","0,84",,,,,,,"2,30","32,39","43,22","27,31","8,08","1408,62","2,50","2,80","384,00","718,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,14","0,01","3,50",,,,,,,"2,36","28,08","35,58","27,40",,,,,,
seq4,no_checks,1 / 12,,,"0,14","0,00","0,99",,,,,,,"2,36","26,62","33,50","25,07",,,,,,
seq4,no_checks,2 / 12,,,"0,13","0,00","0,89",,,,,,,"2,36","25,60","31,97","23,48",,,,,,
seq4,no_checks,3 / 12,,,"0,14","0,00","0,53",,,,,,,"2,36","15,46","18,77","8,15",,,,,,
seq4,no_checks,4 / 12,,,"0,14","0,00","0,53",,,,,,,"2,36","15,48","18,77","8,11",,,,,,
seq4,no_checks,5 / 12,,,"0,14","0,00","0,51",,,,,,,"2,36","15,49","18,77","8,09",,,,,,
seq4,no_checks,6 / 12,,,"0,14","0,00","0,49",,,,,,,"2,36","15,49","18,78","8,09",,,,,,
seq4,no_checks,7 / 12,,,"0,13","0,00","0,45",,,,,,,"2,36","15,50","18,79","8,09",,,,,,
seq4,no_checks,8 / 12,,,"0,14","0,00","0,46",,,,,,,"2,36","15,51","18,80","8,09",,,,,,
seq4,no_checks,FINAL,,,"0,14","0,00","0,46",,,,,,,"2,36","15,51","18,80","8,09","44,76","656,80","2,50","3,50","335,00","666,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,02","0,00","0,58",,,,,,,"2,39","25,09","35,12","29,40",,,,,,
seq5,no_checks,1 / 12,,,"0,03","0,00","0,28",,,,,,,"2,39","13,92","19,70","13,22",,,,,,
seq5,no_checks,2 / 12,,,"0,03","0,00","0,29",,,,,,,"2,39","13,92","19,69","13,21",,,,,,
seq5,no_checks,FINAL,,,"0,03","0,00","0,29",,,,,,,"2,39","13,92","19,69","13,21","44,52","582,81","2,50","2,69","183,00","366,00"
