parallax,Av. error (mm),Info
"0,74","58,09",seq0_checks
"0,74","56,63",seq0_checks
"0,66","70,81",seq0_checks
"0,66","69,37",seq0_checks
"1,32","12,38",seq0_checks
"1,32","12,73",seq0_checks
"1,83","2,06",seq0_checks
"1,83","1,93",seq0_checks
"0,68","68,48",seq0_checks
"0,68","67,24",seq0_checks
"2,09","6,01",seq0_checks
"2,09","6,20",seq0_checks
"0,66","70,44",seq0_checks
"0,66","70,83",seq0_checks
"1,54","12,29",seq0_checks
"1,54","12,49",seq0_checks
"1,14","17,19",seq0_checks
"1,14","17,62",seq0_checks
"1,16","20,96",seq0_checks
"1,16","19,54",seq0_checks
"3,15","8,44",seq0_checks
"3,15","8,40",seq0_checks
"1,89","3,56",seq0_checks
"1,89","3,47",seq0_checks
"1,87","0,78",seq0_checks
"1,87","0,83",seq0_checks
"0,45","127,42",seq0_checks
"0,45","126,08",seq0_checks
"1,81","2,29",seq0_checks
"1,81","2,18",seq0_checks
"1,63","2,80",seq0_checks
"1,63","3,01",seq0_checks
"1,21","18,53",seq0_checks
"1,21","19,17",seq0_checks
"1,72","1,19",seq0_checks
"1,72","1,42",seq0_checks
"0,60","81,86",seq0_checks
"0,60","80,76",seq0_checks
"2,43","22,98",seq0_checks
"2,43","21,26",seq0_checks
"2,42","23,96",seq0_checks
"2,42","22,36",seq0_checks
"2,14","6,94",seq0_checks
"2,14","7,17",seq0_checks
"1,63","1,99",seq0_checks
"1,63","2,14",seq0_checks
"1,42","5,45",seq0_checks
"1,42","5,82",seq0_checks
"1,38","21,43",seq0_checks
"1,38","20,00",seq0_checks
"1,59","8,42",seq0_checks
"1,59","7,68",seq0_checks
"1,67","1,12",seq0_checks
"1,67","0,91",seq0_checks
"2,12","2,57",seq0_checks
"2,12","2,67",seq0_checks
"1,43","11,92",seq0_checks
"1,43","12,37",seq0_checks
"1,36","11,13",seq0_checks
"1,36","11,70",seq0_checks
"1,84","0,11",seq0_checks
"1,84","0,11",seq0_checks
"1,78","1,70",seq0_checks
