parallax,Av. error (mm),Info
"0,74","58,17",seq0_checks
"0,74","56,55",seq0_checks
"0,66","70,88",seq0_checks
"0,66","69,31",seq0_checks
"1,32","12,50",seq0_checks
"1,32","12,61",seq0_checks
"1,83","2,03",seq0_checks
"1,83","1,95",seq0_checks
"0,68","68,64",seq0_checks
"0,68","67,08",seq0_checks
"2,09","5,99",seq0_checks
"2,09","6,21",seq0_checks
"0,66","70,52",seq0_checks
"0,66","70,76",seq0_checks
"1,54","12,29",seq0_checks
"1,54","12,49",seq0_checks
"1,14","17,28",seq0_checks
"1,14","17,53",seq0_checks
"1,16","21,08",seq0_checks
"1,16","19,41",seq0_checks
"3,15","8,44",seq0_checks
"3,15","8,40",seq0_checks
"1,89","3,55",seq0_checks
"1,89","3,48",seq0_checks
"1,87","0,78",seq0_checks
"1,87","0,84",seq0_checks
"0,45","127,53",seq0_checks
"0,45","125,97",seq0_checks
"1,81","2,24",seq0_checks
"1,81","2,23",seq0_checks
"1,63","2,85",seq0_checks
"1,63","2,96",seq0_checks
"1,21","18,59",seq0_checks
"1,21","19,10",seq0_checks
"1,72","1,21",seq0_checks
"1,72","1,39",seq0_checks
"0,60","82,10",seq0_checks
"0,60","80,52",seq0_checks
"2,43","22,97",seq0_checks
"2,43","21,27",seq0_checks
"2,42","23,93",seq0_checks
"2,42","22,39",seq0_checks
"2,14","6,92",seq0_checks
"2,14","7,18",seq0_checks
"1,63","2,05",seq0_checks
"1,63","2,09",seq0_checks
"1,42","5,54",seq0_checks
"1,42","5,73",seq0_checks
"1,38","21,29",seq0_checks
"1,38","20,14",seq0_checks
"1,59","8,35",seq0_checks
"1,59","7,75",seq0_checks
"1,67","1,10",seq0_checks
"1,67","0,93",seq0_checks
"2,12","2,57",seq0_checks
"2,12","2,67",seq0_checks
"1,43","11,94",seq0_checks
"1,43","12,35",seq0_checks
"1,36","11,19",seq0_checks
"1,36","11,64",seq0_checks
"1,78","1,72",seq0_checks
"1,78","1,75",seq0_checks
"1,50","14,30",seq0_checks
"1,50","14,54",seq0_checks
"2,86","15,89",seq0_checks
"2,86","16,97",seq0_checks
"3,01","9,67",seq0_checks
"3,01","10,81",seq0_checks
"2,25","18,48",seq0_checks
"2,25","18,84",seq0_checks
"1,29","12,43",seq0_checks
"1,29","12,76",seq0_checks
"1,05","26,40",seq0_checks
"1,05","26,56",seq0_checks
"0,73","62,27",seq0_checks
"0,73","60,81",seq0_checks
"0,66","75,48",seq0_checks
"0,66","74,08",seq0_checks
"1,11","22,32",seq0_checks
"1,11","22,69",seq0_checks
"2,09","8,12",seq0_checks
"2,09","8,24",seq0_checks
"0,69","65,52",seq0_checks
"0,69","65,99",seq0_checks
"1,42","15,51",seq0_checks
"1,42","15,90",seq0_checks
"1,87","3,37",seq0_checks
"1,87","3,34",seq0_checks
"1,61","2,66",seq0_checks
"1,61","2,71",seq0_checks
"3,04","31,59",seq0_checks
"3,04","30,66",seq0_checks
"3,03","31,54",seq0_checks
"3,03","30,59",seq0_checks
"2,68","25,88",seq0_checks
"2,68","26,61",seq0_checks
"1,32","17,57",seq0_checks
"1,32","18,07",seq0_checks
"1,49","8,25",seq0_checks
"1,49","6,55",seq0_checks
"2,39","23,65",seq0_checks
"2,39","22,18",seq0_checks
"2,01","2,06",seq0_checks
"2,01","0,35",seq0_checks
"1,98","1,34",seq0_checks
"1,98","1,49",seq0_checks
"2,27","18,80",seq0_checks
"2,27","19,18",seq0_checks
"2,31","27,00",seq0_checks
"2,31","27,43",seq0_checks
"1,31","13,69",seq0_checks
"1,31","14,18",seq0_checks
"1,25","11,23",seq0_checks
"1,25","11,41",seq0_checks
"1,71","2,32",seq0_checks
"1,71","2,18",seq0_checks
"1,84","2,24",seq0_checks
"1,84","2,17",seq0_checks
"1,85","2,10",seq0_checks
"1,85","2,03",seq0_checks
"1,93","3,92",seq0_checks
"1,93","2,08",seq0_checks
"1,93","1,96",seq0_checks
"1,93","2,05",seq0_checks
"2,71","28,75",seq0_checks
"2,71","29,50",seq0_checks
"2,05","0,89",seq0_checks
"2,05","0,74",seq0_checks
"2,34","17,00",seq0_checks
"2,34","17,17",seq0_checks
"2,39","17,73",seq0_checks
"2,39","17,93",seq0_checks
"1,68","4,72",seq0_checks
"1,68","4,82",seq0_checks
"0,47","106,47",seq0_checks
"0,47","106,58",seq0_checks
"1,87","0,89",seq0_checks
"1,87","0,90",seq0_checks
"3,34","22,22",seq0_checks
"3,34","21,56",seq0_checks
"2,86","15,86",seq0_checks
"2,86","16,93",seq0_checks
"2,43","28,55",seq0_checks
"2,43","29,10",seq0_checks
"2,16","20,56",seq0_checks
"2,16","33,03",seq0_checks
"1,95","9,97",seq0_checks
"1,95","9,76",seq0_checks
"2,69","12,08",seq0_checks
"2,69","12,78",seq0_checks
"2,65","13,35",seq0_checks
"2,65","12,23",seq0_checks
"1,81","2,09",seq0_checks
"1,81","2,06",seq0_checks
"2,03","14,32",seq0_checks
"2,03","14,41",seq0_checks
"1,17","19,89",seq0_checks
"1,17","20,08",seq0_checks
"1,41","8,92",seq0_checks
"1,41","9,01",seq0_checks
"2,82","12,00",seq0_checks
"2,82","12,94",seq0_checks
"1,50","11,79",seq0_checks
"1,50","12,08",seq0_checks
"1,43","14,50",seq0_checks
"1,43","12,93",seq0_checks
"1,43","12,34",seq0_checks
"1,43","12,78",seq0_checks
"2,19","5,88",seq0_checks
"2,19","6,22",seq0_checks
"2,15","5,05",seq0_checks
"2,15","5,40",seq0_checks
"2,15","7,04",seq0_checks
"2,15","7,28",seq0_checks
