TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"0,94","23,55","35,40","24,16",,,,,,
seq0,checks,1 / 15,,,"0,02","0,00","0,09",,,,,,,"0,94","6,15","8,04","5,26",,,,,,
seq0,checks,2 / 15,,,"0,02","0,00","0,07",,,,,,,"0,94","6,15","8,04","5,25",,,,,,
seq0,checks,FINAL,,,"0,02","0,00","0,07",,,,,,,"0,94","6,15","8,04","5,25","73,90","650,82","2,50","2,15","347,00","294,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"1,62","33,53","44,87","32,98",,,,,,
seq0,no_checks,1 / 15,,,"0,02","0,00","0,08",,,,,,,"1,62","26,76","32,92","24,74",,,,,,
seq0,no_checks,2 / 15,,,"0,03","0,00","0,10",,,,,,,"1,62","26,71","32,85","24,70",,,,,,
seq0,no_checks,3 / 15,,,"0,05","0,00","0,22",,,,,,,"1,62","15,56","18,71","13,19",,,,,,
seq0,no_checks,4 / 15,,,"0,05","0,00","0,23",,,,,,,"1,62","15,53","18,69","13,16",,,,,,
seq0,no_checks,5 / 15,,,"0,06","0,00","0,28",,,,,,,"1,62","15,47","18,62","13,09",,,,,,
seq0,no_checks,6 / 15,,,"0,06","0,00","0,28",,,,,,,"1,62","15,30","18,42","12,91",,,,,,
seq0,no_checks,7 / 15,,,"0,06","0,00","0,29",,,,,,,"1,62","15,03","18,13","12,63",,,,,,
seq0,no_checks,8 / 15,,,"0,06","0,00","0,28",,,,,,,"1,62","14,90","17,99","12,49",,,,,,
seq0,no_checks,9 / 15,,,"0,05","0,00","0,28",,,,,,,"1,62","14,69","17,78","12,27",,,,,,
seq0,no_checks,10 / 15,,,"0,05","0,00","0,27",,,,,,,"1,62","14,44","17,47","11,97",,,,,,
seq0,no_checks,11 / 15,,,"0,05","0,00","0,28",,,,,,,"1,62","14,26","17,27","11,76",,,,,,
seq0,no_checks,12 / 15,,,"0,05","0,00","0,26",,,,,,,"1,62","14,14","17,15","11,63",,,,,,
seq0,no_checks,13 / 15,,,"0,05","0,00","0,27",,,,,,,"1,62","13,98","17,00","11,45",,,,,,
seq0,no_checks,14 / 15,,,"0,06","0,00","0,27",,,,,,,"1,62","13,90","16,92","11,35",,,,,,
seq0,no_checks,FINAL,,,"0,06","0,00","0,28",,,,,,,"1,62","13,83","16,88","11,27","58,74","855,55","2,50","2,55","344,00","666,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"1,98","35,49","49,37","34,21",,,,,,
seq1,no_checks,1 / 15,,,"0,08","0,00","0,13",,,,,,,"1,98","11,96","12,77","1,71",,,,,,
seq1,no_checks,2 / 15,,,"0,08","0,00","0,14",,,,,,,"1,98","12,06","12,91","1,87",,,,,,
seq1,no_checks,3 / 15,,,"0,08","0,00","0,15",,,,,,,"1,98","12,10","12,96","1,91",,,,,,
seq1,no_checks,4 / 15,,,"0,08","0,00","0,13",,,,,,,"1,98","12,07","12,89","1,70",,,,,,
seq1,no_checks,5 / 15,,,"0,08","0,00","0,14",,,,,,,"1,98","12,09","12,94","1,70",,,,,,
seq1,no_checks,6 / 15,,,"0,08","0,00","0,13",,,,,,,"1,98","12,14","12,98","1,67",,,,,,
seq1,no_checks,7 / 15,,,"0,07","0,00","0,11",,,,,,,"1,98","12,20","13,03","1,63",,,,,,
seq1,no_checks,8 / 15,,,"0,07","0,00","0,11",,,,,,,"1,98","12,23","13,06","1,61",,,,,,
seq1,no_checks,9 / 15,,,"0,06","0,00","0,10",,,,,,,"1,98","12,82","13,56","1,23",,,,,,
seq1,no_checks,10 / 15,,,"0,50","0,00","1,89",,,,,,,"1,98","37,77","39,33","1,90",,,,,,
seq1,no_checks,11 / 15,,,"0,49","0,00","1,90",,,,,,,"1,98","37,81","39,36","1,90",,,,,,
seq1,no_checks,12 / 15,,,"0,48","0,00","1,86",,,,,,,"1,98","37,81","39,36","1,90",,,,,,
seq1,no_checks,FINAL,,,"0,48","0,00","1,86",,,,,,,"1,98","37,81","39,36","1,90","-6,55","1909,18","2,50","2,75","377,00","692,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"2,08","30,52","39,13","28,61",,,,,,
seq2,no_checks,1 / 12,,,"0,10","0,00","0,60",,,,,,,"2,08","22,20","27,14","18,14",,,,,,
seq2,no_checks,2 / 12,,,"0,09","0,00","0,68",,,,,,,"2,08","22,12","27,07","18,06",,,,,,
seq2,no_checks,3 / 12,,,"0,09","0,00","0,46",,,,,,,"2,08","22,00","26,93","17,92",,,,,,
seq2,no_checks,4 / 12,,,"0,09","0,00","0,62",,,,,,,"2,08","21,84","26,73","17,71",,,,,,
seq2,no_checks,5 / 12,,,"0,10","0,00","0,70",,,,,,,"2,08","21,78","26,66","17,63",,,,,,
seq2,no_checks,6 / 12,,,"0,10","0,00","0,61",,,,,,,"2,08","21,69","26,55","17,51",,,,,,
seq2,no_checks,7 / 12,,,"0,09","0,00","0,70",,,,,,,"2,08","21,64","26,50","17,45",,,,,,
seq2,no_checks,8 / 12,,,"0,10","0,00","0,65",,,,,,,"2,08","21,59","26,45","17,39",,,,,,
seq2,no_checks,9 / 12,,,"0,11","0,00","0,59",,,,,,,"2,08","21,52","26,37","17,32",,,,,,
seq2,no_checks,10 / 12,,,"0,10","0,00","0,71",,,,,,,"2,08","21,48","26,34","17,28",,,,,,
seq2,no_checks,11 / 12,,,"0,10","0,00","0,73",,,,,,,"2,08","21,42","26,27","17,19",,,,,,
seq2,no_checks,FINAL,,,"0,10","0,00","0,67",,,,,,,"2,08","21,40","26,24","17,17","29,89","1029,44","2,50","2,95","363,00","690,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"2,29","35,65","49,81","32,31",,,,,,
seq3,no_checks,1 / 12,,,"0,11","0,00","0,70",,,,,,,"2,29","18,33","22,13","13,36",,,,,,
seq3,no_checks,2 / 12,,,"0,11","0,00","0,46",,,,,,,"2,29","18,33","22,14","13,37",,,,,,
seq3,no_checks,3 / 12,,,"0,11","0,00","0,48",,,,,,,"2,29","18,25","22,05","13,29",,,,,,
seq3,no_checks,4 / 12,,,"0,12","0,00","0,57",,,,,,,"2,29","17,98","21,77","13,00",,,,,,
seq3,no_checks,5 / 12,,,"0,11","0,00","0,55",,,,,,,"2,29","17,95","21,73","12,94",,,,,,
seq3,no_checks,6 / 12,,,"0,12","0,00","0,53",,,,,,,"2,29","17,90","21,68","12,88",,,,,,
seq3,no_checks,7 / 12,,,"0,12","0,00","0,57",,,,,,,"2,29","17,89","21,66","12,86",,,,,,
seq3,no_checks,8 / 12,,,"0,13","0,00","0,59",,,,,,,"2,29","17,74","21,50","12,65",,,,,,
seq3,no_checks,9 / 12,,,"0,13","0,00","0,60",,,,,,,"2,29","17,71","21,47","12,60",,,,,,
seq3,no_checks,10 / 12,,,"0,12","0,00","0,61",,,,,,,"2,29","17,57","21,33","12,43",,,,,,
seq3,no_checks,11 / 12,,,"0,13","0,00","0,60",,,,,,,"2,29","17,53","21,31","12,38",,,,,,
seq3,no_checks,FINAL,,,"0,12","0,00","0,57",,,,,,,"2,29","17,41","21,20","12,22","51,17","758,96","2,50","2,79","384,00","720,00"
seq4,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq4,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"2,35","28,03","35,50","27,18",,,,,,
seq4,no_checks,1 / 12,,,"0,11","0,00","1,13",,,,,,,"2,35","20,01","25,09","16,74",,,,,,
seq4,no_checks,2 / 12,,,"0,14","0,00","1,02",,,,,,,"2,35","16,16","18,73","6,64",,,,,,
seq4,no_checks,3 / 12,,,"0,13","0,00","0,71",,,,,,,"2,35","16,22","18,80","6,68",,,,,,
seq4,no_checks,4 / 12,,,"0,13","0,00","0,71",,,,,,,"2,35","16,22","18,76","6,62",,,,,,
seq4,no_checks,5 / 12,,,"0,13","0,00","0,67",,,,,,,"2,35","16,23","18,77","6,62",,,,,,
seq4,no_checks,6 / 12,,,"0,13","0,00","0,67",,,,,,,"2,35","16,25","18,78","6,62",,,,,,
seq4,no_checks,7 / 12,,,"0,13","0,00","0,66",,,,,,,"2,35","16,26","18,80","6,62",,,,,,
seq4,no_checks,FINAL,,,"0,13","0,00","0,66",,,,,,,"2,35","16,26","18,80","6,62","41,98","691,17","2,50","3,51","335,00","668,00"
seq5,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq5,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"2,38","25,18","35,24","29,28",,,,,,
seq5,no_checks,1 / 12,,,"0,05","0,00","0,25",,,,,,,"2,38","15,19","21,38","14,81",,,,,,
seq5,no_checks,2 / 12,,,"0,05","0,00","0,25",,,,,,,"2,38","15,17","21,36","14,78",,,,,,
seq5,no_checks,3 / 12,,,"0,05","0,00","0,25",,,,,,,"2,38","15,16","21,35","14,78",,,,,,
seq5,no_checks,FINAL,,,"0,05","0,00","0,25",,,,,,,"2,38","15,16","21,35","14,78","39,76","635,96","2,50","2,69","182,00","364,00"
