parallax,Av. error (mm),Info
"1,32","8,39",seq0_checks
"1,32","8,25",seq0_checks
"1,32","8,34",seq0_checks
"1,32","8,19",seq0_checks
"0,68","10,01",seq0_checks
"0,68","8,15",seq0_checks
"1,83","1,99",seq0_checks
"1,83","1,64",seq0_checks
"2,09","1,22",seq0_checks
"2,09","0,82",seq0_checks
"0,66","8,97",seq0_checks
"0,66","8,91",seq0_checks
"1,14","8,57",seq0_checks
"1,14","8,61",seq0_checks
"1,54","9,10",seq0_checks
"1,54","9,07",seq0_checks
"1,16","9,19",seq0_checks
"1,16","8,81",seq0_checks
"3,15","0,96",seq0_checks
"3,15","1,02",seq0_checks
"1,89","1,73",seq0_checks
"1,89","1,54",seq0_checks
"1,87","2,11",seq0_checks
"1,87","1,75",seq0_checks
"0,45","9,31",seq0_checks
"0,45","8,94",seq0_checks
"1,81","1,94",seq0_checks
"1,81","1,60",seq0_checks
"1,63","3,50",seq0_checks
"1,63","3,24",seq0_checks
"1,42","5,00",seq0_checks
"1,42","4,81",seq0_checks
"0,60","9,24",seq0_checks
"0,60","8,89",seq0_checks
"2,43","1,57",seq0_checks
"2,43","0,92",seq0_checks
"1,63","3,10",seq0_checks
"1,63","2,81",seq0_checks
"2,42","1,64",seq0_checks
"2,42","1,02",seq0_checks
"2,14","1,12",seq0_checks
"2,14","0,72",seq0_checks
"1,72","2,87",seq0_checks
"1,72","2,59",seq0_checks
"1,21","9,72",seq0_checks
"1,21","9,19",seq0_checks
"1,38","3,19",seq0_checks
"1,38","2,63",seq0_checks
"1,67","2,35",seq0_checks
"1,67","2,00",seq0_checks
"2,12","1,37",seq0_checks
"2,12","1,00",seq0_checks
"1,43","9,08",seq0_checks
"1,43","8,69",seq0_checks
"1,36","8,56",seq0_checks
"1,36","8,21",seq0_checks
"1,78","2,95",seq0_checks
"1,78","2,64",seq0_checks
"1,50","9,79",seq0_checks
"1,50","9,34",seq0_checks
"2,86","0,31",seq0_checks
"2,86","0,19",seq0_checks
"3,01","0,36",seq0_checks
"3,01","0,88",seq0_checks
"2,25","1,47",seq0_checks
"2,25","1,02",seq0_checks
"1,29","8,67",seq0_checks
"1,29","8,27",seq0_checks
"1,05","9,06",seq0_checks
"1,05","8,56",seq0_checks
"0,73","9,77",seq0_checks
"0,73","9,39",seq0_checks
"0,66","9,88",seq0_checks
"0,66","9,47",seq0_checks
"1,11","9,44",seq0_checks
"1,11","8,91",seq0_checks
"0,69","9,52",seq0_checks
"0,69","8,95",seq0_checks
"2,09","1,23",seq0_checks
"2,09","0,82",seq0_checks
"1,42","9,98",seq0_checks
"1,42","9,51",seq0_checks
"1,87","1,76",seq0_checks
"1,87","1,40",seq0_checks
"3,04","1,82",seq0_checks
"3,04","1,09",seq0_checks
"3,03","1,81",seq0_checks
"3,03","1,08",seq0_checks
"2,68","1,54",seq0_checks
"2,68","1,02",seq0_checks
"1,61","3,35",seq0_checks
"1,61","3,09",seq0_checks
"2,31","1,89",seq0_checks
"2,31","1,42",seq0_checks
"1,49","7,09",seq0_checks
"1,49","5,51",seq0_checks
"2,39","1,65",seq0_checks
"2,39","1,03",seq0_checks
"1,25","8,06",seq0_checks
"1,25","7,67",seq0_checks
"1,32","10,07",seq0_checks
"1,32","9,56",seq0_checks
"2,27","1,46",seq0_checks
"2,27","1,01",seq0_checks
"2,01","1,65",seq0_checks
"2,01","1,64",seq0_checks
"1,98","1,82",seq0_checks
"1,98","1,45",seq0_checks
"1,71","2,11",seq0_checks
"1,71","1,76",seq0_checks
"1,84","3,12",seq0_checks
"1,84","2,77",seq0_checks
"1,85","3,05",seq0_checks
"1,85","2,70",seq0_checks
"1,93","4,07",seq0_checks
"1,93","2,69",seq0_checks
"1,93","2,93",seq0_checks
"1,93","2,67",seq0_checks
"2,71","1,79",seq0_checks
"2,71","1,25",seq0_checks
"2,05","2,30",seq0_checks
"2,05","1,95",seq0_checks
"2,34","1,23",seq0_checks
"2,34","0,76",seq0_checks
"2,39","1,20",seq0_checks
"2,39","0,72",seq0_checks
"1,68","4,65",seq0_checks
"1,68","4,37",seq0_checks
"1,87","2,09",seq0_checks
"1,87","1,74",seq0_checks
"3,34","0,41",seq0_checks
"3,34","0,22",seq0_checks
"2,86","0,30",seq0_checks
"2,86","0,20",seq0_checks
"2,43","1,89",seq0_checks
"2,43","1,42",seq0_checks
"1,95","1,55",seq0_checks
"1,95","1,12",seq0_checks
"2,69","0,29",seq0_checks
"2,69","0,19",seq0_checks
"2,65","0,41",seq0_checks
"2,65","0,13",seq0_checks
"1,81","1,97",seq0_checks
"1,81","1,63",seq0_checks
"2,82","0,07",seq0_checks
"2,82","0,42",seq0_checks
"1,17","9,12",seq0_checks
"1,17","8,61",seq0_checks
"1,41","7,30",seq0_checks
"1,41","6,95",seq0_checks
"2,03","1,57",seq0_checks
"2,03","1,13",seq0_checks
"1,50","9,09",seq0_checks
"1,50","8,68",seq0_checks
"1,43","9,66",seq0_checks
"1,43","8,94",seq0_checks
"1,43","9,25",seq0_checks
"1,43","8,84",seq0_checks
"2,19","1,03",seq0_checks
"2,19","0,62",seq0_checks
"2,15","1,14",seq0_checks
"2,15","0,74",seq0_checks
"2,15","1,10",seq0_checks
"2,15","0,70",seq0_checks
"0,66","8,81",seq0_checks
"0,66","8,30",seq0_checks
"1,25","8,06",seq0_checks
"1,25","7,66",seq0_checks
"1,58","9,11",seq0_checks
"1,58","8,74",seq0_checks
"1,79","1,88",seq0_checks
"1,79","1,45",seq0_checks
"1,99","1,73",seq0_checks
"1,99","1,35",seq0_checks
"1,83","1,96",seq0_checks
"1,83","1,61",seq0_checks
"0,76","9,16",seq0_checks
"0,76","8,63",seq0_checks
"1,17","9,18",seq0_checks
"1,17","8,67",seq0_checks
"1,40","7,43",seq0_checks
"1,40","7,08",seq0_checks
"0,65","9,27",seq0_checks
"0,65","8,91",seq0_checks
"0,64","9,20",seq0_checks
"0,64","8,66",seq0_checks
"0,66","9,27",seq0_checks
"0,66","8,92",seq0_checks
"0,75","9,16",seq0_checks
"0,75","8,63",seq0_checks
"1,67","3,16",seq0_checks
"1,67","2,93",seq0_checks
"1,70","2,97",seq0_checks
"1,70","2,69",seq0_checks
"1,71","2,82",seq0_checks
"1,71","2,53",seq0_checks
"2,90","1,81",seq0_checks
"2,90","1,27",seq0_checks
"2,96","1,82",seq0_checks
"2,96","1,10",seq0_checks
"2,88","1,68",seq0_checks
"2,88","1,21",seq0_checks
"2,80","1,68",seq0_checks
"2,80","1,21",seq0_checks
"2,81","2,36",seq0_checks
"2,81","1,61",seq0_checks
"2,77","1,89",seq0_checks
"2,77","1,41",seq0_checks
"2,07","5,38",seq0_checks
"2,07","4,96",seq0_checks
"1,59","9,52",seq0_checks
"1,59","8,62",seq0_checks
"1,66","7,28",seq0_checks
"1,66","6,95",seq0_checks
"1,94","2,76",seq0_checks
"1,94","2,50",seq0_checks
"0,58","8,97",seq0_checks
"0,58","8,46",seq0_checks
"0,78","11,05",seq0_checks
"0,78","10,47",seq0_checks
"3,12","0,61",seq0_checks
"3,12","1,17",seq0_checks
"2,15","1,53",seq0_checks
"2,15","1,14",seq0_checks
"2,19","1,10",seq0_checks
"2,19","0,71",seq0_checks
"3,09","0,42",seq0_checks
"3,09","0,96",seq0_checks
"1,29","8,67",seq0_checks
"1,29","8,23",seq0_checks
"2,55","1,90",seq0_checks
"2,55","1,42",seq0_checks
"1,20","9,75",seq0_checks
"1,20","9,22",seq0_checks
"1,22","9,92",seq0_checks
"1,22","9,39",seq0_checks
"2,06","1,33",seq0_checks
"2,06","0,91",seq0_checks
"2,48","0,54",seq0_checks
"2,48","0,08",seq0_checks
"0,70","10,89",seq0_checks
"0,70","10,33",seq0_checks
"2,24","1,47",seq0_checks
"2,24","1,02",seq0_checks
"2,96","1,89",seq0_checks
"2,96","1,38",seq0_checks
"1,24","8,51",seq0_checks
"1,24","8,05",seq0_checks
"1,62","6,65",seq0_checks
"1,62","6,42",seq0_checks
"0,55","9,23",seq0_checks
"0,55","8,69",seq0_checks
"2,24","0,93",seq0_checks
"2,24","0,53",seq0_checks
"2,24","0,93",seq0_checks
"2,24","0,52",seq0_checks
"1,34","8,76",seq0_checks
"1,34","7,96",seq0_checks
"0,58","10,19",seq0_checks
"0,58","9,53",seq0_checks
"1,31","10,66",seq0_checks
"1,31","10,14",seq0_checks
"0,73","11,01",seq0_checks
"0,73","10,43",seq0_checks
"0,63","10,79",seq0_checks
"0,63","10,19",seq0_checks
"2,40","1,60",seq0_checks
"2,40","0,97",seq0_checks
"2,41","1,63",seq0_checks
"2,41","1,16",seq0_checks
"2,73","1,55",seq0_checks
"2,73","1,03",seq0_checks
"2,65","0,14",seq0_checks
"2,65","0,29",seq0_checks
"2,25","0,95",seq0_checks
"2,25","0,54",seq0_checks
"2,36","1,42",seq0_checks
"2,36","0,96",seq0_checks
"2,17","1,21",seq0_checks
"2,17","0,78",seq0_checks
"2,80","0,30",seq0_checks
"2,80","0,28",seq0_checks
"2,75","0,38",seq0_checks
"2,75","0,10",seq0_checks
"2,30","3,39",seq0_checks
"2,30","2,81",seq0_checks
"1,61","3,33",seq0_checks
"1,61","3,06",seq0_checks
"2,20","1,06",seq0_checks
