TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,02","22,76","34,02","23,41",,,,,,
seq0,checks,1 / 15,,,"0,05","0,00","0,07",,,,,,,"1,02","8,49","10,79","8,02",,,,,,
seq0,checks,2 / 15,,,"0,05","0,00","0,07",,,,,,,"1,02","8,49","10,79","8,02",,,,,,
seq0,checks,FINAL,,,"0,05","0,00","0,07",,,,,,,"1,02","8,49","10,79","8,02","62,69","835,65","2,50","2,15","349,00","298,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,66","33,42","44,66","32,82",,,,,,
seq0,no_checks,1 / 15,,,"0,03","0,00","0,21",,,,,,,"1,66","26,80","33,01","24,74",,,,,,
seq0,no_checks,2 / 15,,,"0,04","0,00","0,13",,,,,,,"1,66","16,00","19,16","13,60",,,,,,
seq0,no_checks,3 / 15,,,"0,05","0,00","0,14",,,,,,,"1,66","15,96","19,09","13,52",,,,,,
seq0,no_checks,4 / 15,,,"0,05","0,00","0,12",,,,,,,"1,66","15,86","18,93","13,34",,,,,,
seq0,no_checks,5 / 15,,,"0,05","0,00","0,19",,,,,,,"1,66","15,57","18,63","13,01",,,,,,
seq0,no_checks,6 / 15,,,"0,05","0,00","0,13",,,,,,,"1,66","15,05","18,12","12,41",,,,,,
seq0,no_checks,7 / 15,,,"0,05","0,00","0,14",,,,,,,"1,66","15,04","18,32","12,35",,,,,,
seq0,no_checks,8 / 15,,,"0,05","0,00","0,18",,,,,,,"1,66","15,07","18,44","12,35",,,,,,
seq0,no_checks,9 / 15,,,"0,05","0,00","0,16",,,,,,,"1,66","15,08","18,47","12,36",,,,,,
seq0,no_checks,10 / 15,,,"0,05","0,00","0,15",,,,,,,"1,66","15,07","18,48","12,36",,,,,,
seq0,no_checks,11 / 15,,,"0,05","0,00","0,14",,,,,,,"1,66","15,04","18,48","12,36",,,,,,
seq0,no_checks,12 / 15,,,"0,05","0,00","0,16",,,,,,,"1,66","15,02","18,47","12,35",,,,,,
seq0,no_checks,13 / 15,,,"0,04","0,00","0,16",,,,,,,"1,66","14,99","18,47","12,35",,,,,,
seq0,no_checks,14 / 15,,,"0,04","0,00","0,14",,,,,,,"1,66","14,98","18,46","12,34",,,,,,
seq0,no_checks,FINAL,,,"0,04","0,00","0,14",,,,,,,"1,66","14,97","18,47","12,35","55,19","904,12","2,50","2,55","347,00","668,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"1,98","35,00","48,77","33,72",,,,,,
seq1,no_checks,1 / 15,,,"0,07","0,00","0,39",,,,,,,"1,98","18,54","21,97","15,43",,,,,,
seq1,no_checks,2 / 15,,,"0,07","0,00","0,33",,,,,,,"1,98","18,51","21,92","15,40",,,,,,
seq1,no_checks,3 / 15,,,"0,07","0,00","0,38",,,,,,,"1,98","18,44","21,84","15,34",,,,,,
seq1,no_checks,4 / 15,,,"0,07","0,00","0,47",,,,,,,"1,98","18,38","21,77","15,27",,,,,,
seq1,no_checks,5 / 15,,,"0,07","0,00","0,44",,,,,,,"1,98","18,35","21,74","15,24",,,,,,
seq1,no_checks,6 / 15,,,"0,07","0,00","0,40",,,,,,,"1,98","18,33","21,73","15,22",,,,,,
