parallax,Av. error (mm),Info
"1,32","10,39",seq0_checks
"1,32","10,04",seq0_checks
"1,54","10,89",seq0_checks
"1,54","10,81",seq0_checks
"0,68","20,96",seq0_checks
"0,68","20,30",seq0_checks
"1,83","3,45",seq0_checks
"1,83","3,09",seq0_checks
"0,74","19,62",seq0_checks
"0,74","17,79",seq0_checks
"0,66","21,36",seq0_checks
"0,66","20,71",seq0_checks
"2,09","0,86",seq0_checks
"2,09","0,84",seq0_checks
"0,66","20,97",seq0_checks
"0,66","21,01",seq0_checks
"1,14","11,31",seq0_checks
"1,14","10,95",seq0_checks
"1,16","12,63",seq0_checks
"1,16","10,79",seq0_checks
"3,15","3,66",seq0_checks
"3,15","3,66",seq0_checks
"1,89","2,41",seq0_checks
"1,89","2,37",seq0_checks
"1,87","3,92",seq0_checks
"1,87","3,74",seq0_checks
"0,45","30,39",seq0_checks
"0,45","29,73",seq0_checks
"1,72","5,57",seq0_checks
"1,72","5,16",seq0_checks
"1,81","3,26",seq0_checks
"1,81","2,86",seq0_checks
"1,63","6,56",seq0_checks
"1,63","6,06",seq0_checks
"1,27","10,63",seq0_checks
"1,27","10,29",seq0_checks
"1,63","5,95",seq0_checks
"1,63","5,43",seq0_checks
"0,60","23,36",seq0_checks
"0,60","22,70",seq0_checks
"2,43","7,69",seq0_checks
"2,43","8,19",seq0_checks
"2,42","6,40",seq0_checks
"2,42","7,30",seq0_checks
"1,21","12,21",seq0_checks
"1,21","11,86",seq0_checks
"2,14","0,27",seq0_checks
"2,14","0,10",seq0_checks
"1,38","5,86",seq0_checks
"1,38","4,76",seq0_checks
"1,59","1,40",seq0_checks
"1,59","1,30",seq0_checks
"1,86","3,21",seq0_checks
"1,86","3,21",seq0_checks
"1,67","4,16",seq0_checks
"1,67","3,78",seq0_checks
"2,12","2,51",seq0_checks
"2,12","2,14",seq0_checks
"1,43","11,16",seq0_checks
"1,43","10,85",seq0_checks
"1,36","10,84",seq0_checks
"1,36","10,51",seq0_checks
"1,78","5,72",seq0_checks
"1,78","5,24",seq0_checks
"1,50","11,68",seq0_checks
"1,50","11,35",seq0_checks
"2,86","6,47",seq0_checks
"2,86","7,20",seq0_checks
"3,01","3,34",seq0_checks
"3,01","4,21",seq0_checks
"2,25","6,99",seq0_checks
"2,25","7,33",seq0_checks
"1,29","10,86",seq0_checks
"1,29","10,52",seq0_checks
"1,05","12,65",seq0_checks
"1,05","12,22",seq0_checks
"0,73","20,17",seq0_checks
"0,73","19,49",seq0_checks
"0,66","22,75",seq0_checks
"0,66","22,09",seq0_checks
"1,11","12,39",seq0_checks
"1,11","12,00",seq0_checks
"2,09","0,16",seq0_checks
"2,09","0,45",seq0_checks
"0,69","20,59",seq0_checks
"0,69","20,12",seq0_checks
"1,42","12,04",seq0_checks
"1,42","11,72",seq0_checks
"1,87","2,63",seq0_checks
"1,87","2,28",seq0_checks
"3,04","5,23",seq0_checks
"3,04","6,14",seq0_checks
"3,03","5,30",seq0_checks
"3,03","6,23",seq0_checks
"2,68","6,91",seq0_checks
"2,68","7,72",seq0_checks
"1,61","6,36",seq0_checks
"1,61","5,82",seq0_checks
"2,27","7,13",seq0_checks
"2,27","7,50",seq0_checks
"2,39","6,38",seq0_checks
"2,39","7,27",seq0_checks
"1,25","10,26",seq0_checks
"1,25","9,90",seq0_checks
"1,32","12,39",seq0_checks
"1,32","12,05",seq0_checks
"2,01","3,05",seq0_checks
"2,01","3,58",seq0_checks
"1,98","3,51",seq0_checks
"1,98","3,05",seq0_checks
"1,49","9,64",seq0_checks
"1,49","8,48",seq0_checks
"1,71","3,42",seq0_checks
"1,71","3,06",seq0_checks
"1,84","5,94",seq0_checks
"1,84","5,41",seq0_checks
"1,85","5,85",seq0_checks
"1,85","5,33",seq0_checks
"1,93","6,83",seq0_checks
"1,93","5,30",seq0_checks
"1,93","5,67",seq0_checks
"1,93","5,27",seq0_checks
"2,71","5,88",seq0_checks
"2,71","6,72",seq0_checks
"2,05","4,68",seq0_checks
"2,05","4,18",seq0_checks
"2,34","6,20",seq0_checks
"2,34","6,35",seq0_checks
"2,39","6,71",seq0_checks
"2,39","6,91",seq0_checks
"1,68","7,71",seq0_checks
"1,68","7,24",seq0_checks
"2,31","4,97",seq0_checks
"2,31","5,60",seq0_checks
"1,33","10,73",seq0_checks
"1,33","10,39",seq0_checks
"1,87","4,00",seq0_checks
"1,87","3,57",seq0_checks
"3,34","7,64",seq0_checks
"3,34","8,30",seq0_checks
"2,86","6,45",seq0_checks
"2,86","7,18",seq0_checks
"2,43","4,69",seq0_checks
"2,43","5,32",seq0_checks
"2,16","7,28",seq0_checks
"2,16","6,25",seq0_checks
"1,95","0,60",seq0_checks
"1,95","0,72",seq0_checks
"2,69","3,93",seq0_checks
"2,69","4,49",seq0_checks
"2,65","4,60",seq0_checks
"2,65","4,09",seq0_checks
"1,81","3,37",seq0_checks
"1,81","2,97",seq0_checks
"1,17","11,73",seq0_checks
